title,type,creator,year
Strook kloskant met stervormige bloem uitgespaard in een afgeplat zeshoekig veld,strook,anonymous,1800
Knielende engel met een kandelaar,beeldhouwwerk,"Robbia, Luca della",1499
Kleed van rode zijden fluweel met een satijnen voering.,kleed,NA,1600
"Lijf met lange mouwen en blauwwit passement, diepe V-vormige voorhals, knoopsluiting en geplooid lijf met ingerimpelde schoot, van blauwe changeant tafzijde met bloemtakken.",dameskleding,anonymous,1850
Suikerpot met deksel van Worcester-porselein,suikerpot,anonymous,1800
"Pop met hoofd en armen van porselein en met lichtblond, opgestoken echt haar",speelgoed,anonymous,1870
"Amor, de dwaze uitvallen van de Trouw verhinderd",beeldhouwwerk,"Royer, Louis",1803
Suikerpot met riviergezicht,suikerpot,Manufactuur Oud-Loosdrecht,1774
Portret van Joseph Haydn,buste,Kaiserliche Porzellanmanufaktur,1805
Stoel Kops-ameublement,ameublement,anonymous,1793
Brandewijnkom,brandewijnkom,"Janssen, Scholte (II)",1667
"Knottekist van zilver, geheel opengewerkt met ranken, bloemen en vogels en op vier bolpoten. Vals?",knottedoos,anonymous,1400
Binnenbak van mosterdpot,mosterdpot,"Teuter, Nathanael",1805
"Zoutvat, spitsovaal, met opengewerkte wand met parellijsten",zoutvat,"Teuter, Nathanael",1805
