Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Cory 'Poppins' McKenna,Cory McKenna,Poppins,5.3,115.0,Orthodox,8,4,0,False,2.5,0.0,38.83,1.17,0.83,274.67,0.39,0.33,0.4,0.9,0.36,0.64,0.65,0.33,0.17,Women's Strawweight,Female,Striker
Tim 'No Nickname' McKenzie,Tim McKenzie,No Nickname,6.0,185.0,Orthodox,14,9,0,False,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,Middleweight,Male,No Clear Style
Cody 'No Nickname' McKenzie,Cody McKenzie,No Nickname,6.0,155.0,Switch,16,10,0,False,1.86,0.0,14.14,0.57,1.29,130.86,0.25,0.21,0.35,0.56,0.22,0.41,0.37,1.29,0.43,Lightweight,Male,Wrestler
Terrance 'T. Wrecks' McKinney,Terrance McKinney,T. Wrecks,5.1,155.0,Switch,17,7,0,False,1.18,0.27,16.45,0.55,0.45,71.64,0.56,0.56,0.55,0.0,0.33,0.53,0.63,0.45,0.09,Lightweight,Male,Striker
Garreth 'Soldier Boy' McLellan,Garreth McLellan,Soldier Boy,6.1,185.0,Southpaw,13,6,0,False,2.4,0.4,23.2,1.0,0.4,170.8,0.5,0.31,0.76,0.59,0.31,0.42,0.16,0.6,0.0,Middleweight,Male,Hybrid
Sara 'No Nickname' McMann,Sara McMann,No Nickname,5.6,135.0,Orthodox,13,6,0,False,2.15,0.15,22.0,1.92,0.62,324.69,0.47,0.41,0.69,0.61,0.29,0.6,0.54,0.31,0.0,Women's Bantamweight,Female,Striker
James 'The Hammer' McSweeney,James McSweeney,The Hammer,6.4,230.0,Switch,15,15,0,False,2.33,0.67,55.33,0.33,1.67,168.33,0.55,0.45,0.65,0.83,0.51,0.43,0.22,0.67,0.67,Light Heavyweight,Male,Wrestler
Jackson 'The Moose' McVey,Jackson McVey,The Moose,6.4,185.0,Southpaw,6,1,0,False,1.0,0.0,4.0,0.0,0.0,8.0,0.26,0.23,0.5,0.0,0.27,0.0,0.0,0.0,0.0,Middleweight,Male,No Clear Style
Tim 'The Dirty Bird' Means,Tim Means,The Dirty Bird,6.2,170.0,Orthodox,33,17,1,False,2.2,0.37,44.77,0.7,0.2,82.37,0.51,0.42,0.72,0.85,0.44,0.67,0.53,0.1,0.13,Welterweight,Male,Striker
Yancy 'No Nickname' Medeiros,Yancy Medeiros,No Nickname,5.1,155.0,Orthodox,15,8,0,False,1.93,0.4,40.47,0.27,0.2,41.93,0.35,0.29,0.54,0.63,0.33,0.55,0.32,0.4,0.2,Lightweight,Male,Hybrid
