Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Austin Arnett,No Nickname,6.0,145.0,72.0,Orthodox,16,6,0,False
Ricardo Arona,The Brazilian Tiger,5.11,205.0,,Orthodox,14,5,0,False
Eli Aronov,The Israeli Tank,5.1,185.0,72.0,Orthodox,6,1,0,False
Chalid Arrab,Die Faust,5.11,205.0,,Orthodox,7,3,0,False
Akbarh Arreola,El Caballero,5.1,155.0,71.0,Southpaw,23,11,1,False
Matt Arroyo,No Regard,5.1,170.0,72.0,Orthodox,3,3,0,False
Antonio Arroyo,No Nickname,6.3,185.0,73.0,Orthodox,9,5,0,False
Gilles Arsene,No Nickname,5.9,190.0,,Southpaw,1,1,0,False
Veta Arteaga,No Nickname,5.7,125.0,,Orthodox,3,1,0,False
Cesar Arzamendia,Goku,5.11,155.0,,Orthodox,8,3,0,False
Kai Asakura,No Nickname,5.8,125.0,69.0,Orthodox,21,6,0,False
Teddy Ash,Bear,6.1,185.0,73.0,Switch,14,5,0,False
Arman Ashimov,Mustafa Ozturik,5.6,125.0,,Orthodox,11,3,1,False
Yanal Ashmouz,Red Fox,5.9,155.0,69.0,Orthodox,8,2,0,False
 Asjabharan,No Nickname,5.6,135.0,,Orthodox,7,6,0,False
Askar Askar,AK-47,5.7,145.0,69.0,Orthodox,11,1,0,False
Askar Askarov,Bullet,5.6,125.0,67.0,Orthodox,14,1,1,False
Cyril Asker,Silverback,6.0,247.0,74.0,Orthodox,9,4,0,False
Khusein Askhabov,Nohcho,5.8,145.0,69.0,Orthodox,23,1,0,False
Scott Askham,No Nickname,6.3,185.0,75.0,Southpaw,14,4,0,False
Ben Askren,Funky,5.11,170.0,73.0,Orthodox,19,2,0,False
Ibo Aslan,The Last Ottoman,6.3,205.0,77.0,Orthodox,14,3,0,False
Tom Aspinall,No Nickname,6.5,256.0,78.0,Orthodox,15,3,0,True
Steven Asplund,Concrete,6.5,261.0,78.0,Orthodox,6,1,0,False
Bruno Assis,Brunao,6.2,185.0,,Orthodox,8,4,0,False
Junior Assuncao,No Nickname,5.9,145.0,72.0,Orthodox,16,6,0,False
Raphael Assuncao,No Nickname,5.5,135.0,66.0,Orthodox,28,10,0,False
Michael Aswell,The Texas Kid,5.8,145.0,69.0,Orthodox,10,3,0,False
Bazigit Atajev,Volk,6.1,230.0,,Orthodox,17,1,0,False
Rich Attonito,The Raging Bull,5.1,170.0,72.0,Orthodox,10,5,0,False
