Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
Diana Belbita,Liana Jojua,0,0,2,5,0,1,3,0,Women's Flyweight,SUB Armbar,1,2:43,18f5669a92e99d92,L,W,3 Rnd (5-5-5),Rich Mitchell,Armbar From Bottom Guard,0.55,0.66,0,3,0,0,94,52,0.5,0.5,0.67,1.0,0,0,0.6,0.5,0.5,1.0,0,0,0.55,0.75,0.56,0.67
Jack Shore,Aaron Phillips,0,0,29,6,3,0,1,0,Bantamweight,SUB Rear Naked Choke,2,2:29,18f5669a92e99d92,W,L,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,0.64,0.4,1,0,0,0,325,5,0.59,0.11,0.83,0.83,0.71,0,0.5,0.36,1.0,1.0,0.64,0,0.71,0.44,0.64,0.4
Kamaru Usman,Jorge Masvidal,0,0,94,66,5,0,0,0,Welterweight,U-DEC,5,5:00,dbd198f780286aca,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Ben Cartlidge45 - 50.Mark Collett45 - 50.David Lethaby46 - 49.,0.62,0.52,0,0,0,0,998,0,0.45,0.33,0.92,0.74,1.0,0.82,0.49,0.42,0.8,0.79,0.81,1.0,0.77,0.56,0.62,0.53
Alexander Volkanovski,Max Holloway,0,0,137,102,3,0,0,0,Featherweight,S-DEC,5,5:00,dbd198f780286aca,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Mark Collett47 - 48.David Lethaby48 - 47.Clemens Werner47 - 48.,0.5,0.38,0,0,0,0,86,0,0.4,0.26,0.6,0.59,0.66,0.56,0.51,0.37,0.17,0.7,0.0,0,0.51,0.4,0.5,0.38
Petr Yan,Jose Aldo,1,0,194,83,1,0,0,0,Bantamweight,KO/TKO Punches,5,3:24,dbd198f780286aca,W,L,5 Rnd (5-5-5-5-5),Leon Roberts,Punches to Head On Ground,0.62,0.52,0,0,0,0,290,0,0.59,0.39,0.8,0.72,1.0,0.81,0.49,0.53,0.82,0.67,0.89,0,0.69,0.53,0.63,0.53
Jessica Andrade,Rose Namajunas,0,0,82,71,0,1,0,0,Women's Strawweight,S-DEC,3,5:00,dbd198f780286aca,L,W,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson28 - 29.Mark Collett29 - 28.Vito Paolillo28 - 29.,0.34,0.34,0,0,0,0,29,0,0.23,0.3,0.45,0.63,0.94,1.0,0.33,0.34,0.64,0.5,0,0,0.37,0.35,0.35,0.35
Amanda Ribas,Paige VanZant,0,0,6,3,1,0,1,0,Women's Flyweight,SUB Armbar,1,2:21,dbd198f780286aca,W,L,3 Rnd (5-5-5),Rich Mitchell,Armbar From Back Control,0.85,0.6,1,0,0,0,68,32,1.0,1.0,0.8,0.0,1.0,0.67,0.75,0.75,1.0,0.0,0,0,0.87,0.67,0.86,0.6
Volkan Oezdemir,Jiri Prochazka,1,0,33,41,0,0,0,0,Light Heavyweight,KO/TKO Punch,2,0:49,dbd198f780286aca,L,W,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,0.44,0.45,0,0,0,0,17,2,0.39,0.43,0.5,0.6,0.8,1.0,0.45,0.45,0,0,0,0,0.46,0.45,0.45,0.45
Elizeu Zaleski dos Santos,Muslim Salikhov,0,0,40,46,0,0,0,0,Welterweight,S-DEC,3,5:00,dbd198f780286aca,L,W,3 Rnd (5-5-5),Herb Dean,Lukasz Bosacki27 - 30.David Lethaby29 - 28.Clemens Werner28 - 29.,0.33,0.45,0,0,0,0,53,2,0.23,0.36,0.44,0.57,0.8,0.9,0.28,0.44,0.75,1.0,0.8,0,0.33,0.45,0.33,0.45
Makwan Amirkhani,Danny Henry,0,0,2,6,1,0,1,0,Featherweight,SUB Anaconda Choke,1,3:15,dbd198f780286aca,W,L,3 Rnd (5-5-5),Leon Roberts,Anaconda Choke On Ground,0.33,0.37,1,0,0,0,47,0,0.2,0.17,1.0,0.43,0,0.67,0.33,0.38,0,0,0,0,0.33,0.38,0.33,0.38
