Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
Leon Edwards,Gunnar Nelson,1,0,31,9,2,3,0,0,Welterweight,S-DEC,3,5:00,80eacd4da0617c57,W,L,3 Rnd (5-5-5),Kevin Sataki,Howard Hughes29 - 28.Anders Ohlsson27 - 29.Andy Roberts28 - 29.,0.63,0.5,0,0,0,0,209,262,0.57,0.3,0.76,0.8,0.5,0.67,0.25,0.33,0.84,0.83,0.79,0,0.68,0.71,0.63,0.5
Volkan Oezdemir,Dominick Reyes,0,0,44,35,0,1,0,0,Light Heavyweight,S-DEC,3,5:00,80eacd4da0617c57,L,W,3 Rnd (5-5-5),Leon Roberts,Mark Collett28 - 29.Andy Roberts29 - 28.Paul Sutherland28 - 29.,0.35,0.36,0,0,0,0,95,0,0.3,0.2,0.67,0.62,0.58,0.86,0.33,0.35,0.71,0.75,0.0,0,0.43,0.38,0.35,0.36
Nathaniel Wood,Jose Quinonez,0,0,30,34,2,1,2,0,Bantamweight,SUB Rear Naked Choke,2,2:46,80eacd4da0617c57,W,L,3 Rnd (5-5-5),Rich Mitchell,Rear Naked Choke,0.37,0.56,2,0,1,0,73,109,0.26,0.25,0.44,0.83,0.63,0.85,0.36,0.56,0.6,1.0,0,0,0.43,0.57,0.37,0.57
Danny Roberts,Claudio Silva,0,0,19,26,3,0,4,0,Welterweight,SUB Armbar,3,2:37,80eacd4da0617c57,L,W,3 Rnd (5-5-5),Kevin Sataki,Armbar From Bottom Guard,0.57,0.5,0,4,3,0,192,374,0.56,0.36,1.0,0.67,0,1.0,0.33,0.42,1.0,1.0,0.72,0.64,0.6,0.62,0.58,0.5
Jack Marshman,John Phillips,0,1,31,32,0,0,0,0,Middleweight,S-DEC,3,5:00,80eacd4da0617c57,W,L,3 Rnd (5-5-5),Marc Goddard,Pawel Harasim29 - 28.Mark Collett28 - 29.Andy Roberts28 - 29.,0.2,0.33,0,0,0,0,0,36,0.14,0.21,0.91,0.53,0.67,0.9,0.21,0.32,0,0.6,0,0,0.21,0.35,0.21,0.34
Arnold Allen,Jordan Rinaldi,1,0,37,30,0,0,0,0,Featherweight,U-DEC,3,5:00,80eacd4da0617c57,W,L,3 Rnd (5-5-5),Leon Roberts,Pawel Harasim26 - 30.Anders Ohlsson27 - 30.Paul Sutherland28 - 29.,0.33,0.28,0,0,0,0,59,0,0.28,0.08,0.77,0.46,0.25,0.63,0.34,0.29,0.0,0.0,0.25,0,0.35,0.29,0.33,0.29
Marc Diakiese,Joe Duffy,1,0,63,15,3,1,0,0,Lightweight,U-DEC,3,5:00,80eacd4da0617c57,W,L,3 Rnd (5-5-5),Daniel Movahedi,Mark Collett27 - 30.Junichiro Kamijo27 - 30.Andy Roberts27 - 30.,0.59,0.25,0,0,0,0,268,35,0.34,0.16,0.88,0.5,0.88,1.0,0.59,0.24,0.67,1.0,0.67,0.0,0.64,0.34,0.59,0.25
Nicolae Negumereanu,Saparbeg Safarov,0,0,70,11,3,0,0,0,Light Heavyweight,U-DEC,3,5:00,80eacd4da0617c57,L,W,3 Rnd (5-5-5),Leon Roberts,Howard Hughes26 - 29.Anders Ohlsson26 - 29.Paul Sutherland27 - 29.,0.4,0.81,0,0,0,0,0,646,0.29,0.81,0.43,1.0,1.0,0.8,0.37,0.67,0.5,0.67,0,0.89,0.56,0.89,0.41,0.81
Danny Henry,Dan Ige,1,0,10,4,1,0,1,0,Featherweight,SUB Rear Naked Choke,1,1:17,80eacd4da0617c57,L,W,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,0.57,0.58,0,1,0,0,0,30,0.4,0.5,1.0,1.0,1.0,0,0.57,0.5,0,0,0,0.67,0.57,0.59,0.57,0.59
Molly McCann,Priscila Cachoeira,0,0,107,75,2,0,2,0,Women's Flyweight,U-DEC,3,5:00,80eacd4da0617c57,W,L,3 Rnd (5-5-5),Rich Mitchell,Mark Collett28 - 29.Howard Hughes28 - 29.Paul Sutherland28 - 29.,0.54,0.32,2,0,1,0,74,67,0.49,0.26,0.81,0.71,0.93,0.86,0.53,0.31,0.57,0.58,0.71,0,0.55,0.32,0.54,0.32
Mike Grundy,Nad Narimani,1,0,33,22,1,0,0,0,Featherweight,KO/TKO Punches,2,4:42,80eacd4da0617c57,W,L,3 Rnd (5-5-5),Daniel Movahedi,Punches to Head At Distance,0.58,0.23,0,0,0,0,64,0,0.59,0.2,0.5,0.2,0,0.62,0.5,0.22,0.82,0.5,0.8,0,0.61,0.23,0.59,0.23
Derrick Lewis,Junior Dos Santos,1,0,29,7,0,0,0,0,Heavyweight,KO/TKO Punches,2,1:58,e96d8538d3f9d0ed,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head At Distance,0.28,0.52,0,0,0,0,2,11,0.12,0.41,0.5,0.7,1.0,0.88,0.29,0.57,0,0.55,0.0,0.33,0.28,0.53,0.28,0.53
Elizeu Zaleski dos Santos,Curtis Millender,0,0,6,0,1,0,1,0,Welterweight,SUB Rear Naked Choke,1,2:35,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Rob Hinds,Rear Naked Choke,0.66,0.0,1,0,0,0,128,0,0.67,0.0,1.0,0,0.5,0,0.75,0.0,0,0,0.6,0,0.77,0.0,0.67,0.0
Tim Means,Niko Price,1,0,32,31,0,1,0,0,Welterweight,KO/TKO Punch,1,4:50,e96d8538d3f9d0ed,L,W,3 Rnd (5-5-5),Rob Hinds,Punch to Head At Distance,0.64,0.47,0,0,0,0,110,2,0.61,0.44,1.0,0.33,1.0,0.8,0.62,0.44,0.5,0.44,0.86,0.83,0.65,0.49,0.65,0.48
Blagoy Ivanov,Ben Rothwell,0,0,72,70,0,0,0,0,Heavyweight,U-DEC,3,5:00,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Herb Dean,Derek Cleary28 - 29.Kevin Chamion28 - 29.Sal D'amato28 - 29.,0.4,0.42,0,0,0,0,0,0,0.32,0.35,1.0,0.6,1.0,0.94,0.4,0.43,0.67,1.0,0,0,0.41,0.43,0.4,0.43
Beneil Dariush,Drew Dober,0,0,37,31,2,0,1,0,Lightweight,SUB Armbar,2,4:41,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Rob Hinds,Armbar On Ground,0.56,0.53,1,0,0,0,318,63,0.47,0.39,0.86,1.0,0.75,1.0,0.44,0.4,0.71,0.93,0.83,0,0.59,0.58,0.57,0.53
Tim Boetsch,Omari Akhmedov,0,0,52,41,0,0,0,0,Middleweight,U-DEC,3,5:00,e96d8538d3f9d0ed,L,W,3 Rnd (5-5-5),Herb Dean,Kevin Chamion27 - 30.Derek Cleary27 - 30.Sal D'amato27 - 30.,0.42,0.38,0,0,0,0,2,194,0.3,0.29,0.6,0.76,0.82,0.88,0.38,0.31,0.75,0.77,0,0,0.53,0.41,0.42,0.39
Anthony Rocco Martin,Sergio Moraes,0,0,50,19,0,3,0,0,Welterweight,U-DEC,3,5:00,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Rob Hinds,Mike Bell27 - 30.Chris Lee27 - 30.Greg DiVilbiss27 - 30.,0.32,0.22,0,0,1,0,131,88,0.24,0.17,0.8,0.71,0.71,1.0,0.32,0.23,1.0,0,0,0.0,0.41,0.27,0.33,0.23
Marion Reneau,Yana Santos,0,0,98,58,1,1,0,0,Women's Bantamweight,U-DEC,3,5:00,e96d8538d3f9d0ed,L,W,3 Rnd (5-5-5),Nick Berens,Kevin Chamion28 - 29.Derek Cleary28 - 29.Sal D'amato28 - 29.,0.4,0.43,0,0,0,0,20,171,0.35,0.25,0.71,0.68,0.86,0.8,0.41,0.4,0.67,0.83,0.33,0.33,0.43,0.47,0.41,0.44
Grant Dawson,Julian Erosa,0,0,57,49,6,0,1,1,Featherweight,U-DEC,3,5:00,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Herb Dean,Chris Lee26 - 30.Derek Cleary27 - 30.Mike Bell27 - 29.,0.44,0.57,1,1,0,0,607,17,0.42,0.55,0.4,0.6,0.88,1.0,0.37,0.48,0.42,0.8,0.59,0.85,0.52,0.64,0.45,0.58
Maurice Greene,Jeff Hughes,0,0,70,66,0,0,0,0,Heavyweight,S-DEC,3,5:00,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Nick Berens,Kevin Chamion28 - 29.Sal D'amato29 - 28.Mike Bell28 - 29.,0.43,0.46,0,0,0,0,19,45,0.37,0.39,0.5,0.73,0.67,0.62,0.4,0.45,0.75,1.0,0,0,0.44,0.47,0.43,0.46
Louis Smolka,Matt Schnell,0,0,14,13,1,0,2,0,Bantamweight,SUB Triangle Choke,1,3:18,e96d8538d3f9d0ed,L,W,3 Rnd (5-5-5),Marcio Laselva,Triangle Choke From Bottom Guard,0.54,0.35,0,2,0,0,78,28,0.53,0.31,0.5,0.5,0.6,1.0,0.52,0.33,0,1.0,1.0,0,0.56,0.38,0.54,0.35
Alex Morono,Zak Ottow,0,0,25,10,0,1,1,0,Welterweight,KO/TKO Elbows,1,3:34,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Rob Hinds,Elbows to Head From Back Control,0.45,0.32,1,0,1,0,31,7,0.44,0.3,0.6,0.29,0,0.5,0.36,0.32,0,0,0.56,0,0.45,0.32,0.45,0.32
Alex White,Dan Moret,0,0,49,42,2,1,3,0,Lightweight,U-DEC,3,5:00,e96d8538d3f9d0ed,W,L,3 Rnd (5-5-5),Marcio Laselva,Greg DiVilbiss28 - 29.Mike Bell28 - 29.Chris Lee28 - 29.,0.59,0.47,3,0,0,0,209,455,0.49,0.41,0.94,0.67,1.0,0.88,0.53,0.31,0.71,0.67,0,0.86,0.67,0.52,0.6,0.48
Jon Jones,Anthony Smith,0,0,125,36,3,0,0,0,Light Heavyweight,U-DEC,5,5:00,2d5fbe2103f97053,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato44 - 48.Chris Lee44 - 48.Junichiro Kamijo44 - 48.,0.74,0.54,0,0,0,0,778,0,0.56,0.38,0.88,0.64,0.96,1.0,0.63,0.53,0.91,0.71,0.97,0,0.83,0.6,0.75,0.55
Tyron Woodley,Kamaru Usman,0,0,141,34,2,0,0,0,Welterweight,U-DEC,5,5:00,2d5fbe2103f97053,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,Dave Hagen44 - 50.Mike Bell44 - 50.Derek Cleary45 - 50.,0.66,0.72,0,0,0,0,0,1093,0.43,0.54,0.95,0.95,1.0,0.67,0.42,0.37,0.89,0.95,0,0.92,0.76,0.86,0.67,0.73
Robbie Lawler,Ben Askren,0,0,0,26,1,1,1,0,Welterweight,SUB Bulldog Choke,1,3:20,2d5fbe2103f97053,L,W,3 Rnd (5-5-5),Herb Dean,Bulldog Choke On Ground,0.89,0.0,0,1,0,0,33,119,0.88,0.0,1.0,0,0,0,0.5,0.0,1.0,0,0.89,0,0.91,0.6,0.9,0.0
Tecia Pennington,Zhang Weili,0,0,63,30,2,0,0,0,Women's Strawweight,U-DEC,3,5:00,2d5fbe2103f97053,L,W,3 Rnd (5-5-5),Chris Tognoni,Mike Bell28 - 29.Derek Cleary27 - 30.Glenn Trowbridge27 - 30.,0.48,0.44,0,0,0,1,69,282,0.34,0.38,0.71,0.29,0.79,0.62,0.46,0.37,0.67,0.75,0.6,0.82,0.51,0.58,0.48,0.44
Cody Garbrandt,Pedro Munhoz,1,0,25,21,0,0,0,0,Bantamweight,KO/TKO Punch,1,4:52,2d5fbe2103f97053,L,W,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,0.35,0.53,0,0,0,0,4,21,0.38,0.44,0.17,1.0,0.25,0.75,0.34,0.47,0,0.5,1.0,0.86,0.35,0.55,0.35,0.53
Jeremy Stephens,Zabit Magomedsharipov,0,0,70,41,3,0,0,0,Featherweight,U-DEC,3,5:00,2d5fbe2103f97053,L,W,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Derek Cleary28 - 29.Tony Weeks28 - 29.,0.33,0.54,0,0,0,0,1,158,0.22,0.45,0.69,0.71,0.77,0.88,0.34,0.51,0,1.0,0,0.82,0.36,0.57,0.34,0.54
Misha Cirkunov,Johnny Walker,1,0,4,1,0,0,0,0,Light Heavyweight,KO/TKO Flying Knee,1,0:36,2d5fbe2103f97053,L,W,3 Rnd (5-5-5),Herb Dean,Flying Knee Head,0.5,0.5,0,0,0,0,0,4,0.0,0.5,0,0,1.0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5
Cody Stamann,Alejandro Perez,0,0,48,41,0,1,0,0,Bantamweight,U-DEC,3,5:00,2d5fbe2103f97053,W,L,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary28 - 29.Tony Weeks28 - 29.Dave Hagen27 - 30.,0.39,0.33,0,0,0,0,81,29,0.27,0.2,0.63,0.62,0.57,0.76,0.39,0.31,0.5,0.38,0,1.0,0.4,0.38,0.4,0.34
Diego Sanchez,Mickey Gall,0,0,56,23,4,0,0,0,Welterweight,KO/TKO Punches,2,4:13,2d5fbe2103f97053,W,L,3 Rnd (5-5-5),Marc Goddard,Punches to Head From Back Control,0.64,0.35,0,0,0,0,360,19,0.59,0.32,0.72,0.67,1.0,0.67,0.25,0.18,0.91,0.64,0.81,0.86,0.66,0.44,0.64,0.35
Edmen Shahbazyan,Charles Byrd,1,0,13,1,0,0,0,0,Middleweight,KO/TKO Elbows,1,0:38,2d5fbe2103f97053,W,L,3 Rnd (5-5-5),Mark Smith,Elbows to Head In Clinch,0.61,0.16,0,0,0,0,2,3,0.65,0.0,0,0,0.0,1.0,0.4,0.17,1.0,0,0.5,0,0.62,0.17,0.62,0.17
Gina Mazany,Macy Chiasson,1,0,25,14,0,0,0,0,Women's Bantamweight,KO/TKO Punch,1,1:49,2d5fbe2103f97053,L,W,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,0.56,0.51,0,0,0,0,0,28,0.38,0.41,0.86,0.82,1.0,1.0,0.54,0.44,1.0,1.0,0,0.8,0.67,0.51,0.56,0.51
Polyana Viana,Hannah Cifers,1,0,67,77,0,0,0,0,Women's Strawweight,S-DEC,3,5:00,2d5fbe2103f97053,L,W,3 Rnd (5-5-5),Mark Smith,Tony Weeks28 - 29.Ron McCarthy28 - 29.Dave Hagen29 - 28.,0.44,0.43,0,0,0,0,0,278,0.25,0.25,0.72,0.65,0.95,0.62,0.4,0.39,1.0,1.0,1.0,0.56,0.53,0.5,0.44,0.43
Jan Blachowicz,Thiago Santos,1,0,52,20,1,0,0,0,Light Heavyweight,KO/TKO Punch,3,0:39,6546af7ab545b90c,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,0.37,0.5,0,0,0,0,5,8,0.23,0.36,0.5,0.5,0.7,0.72,0.37,0.46,0.5,1.0,0,0.62,0.38,0.5,0.38,0.5
Stefan Struve,Marcos Rogerio de Lima,0,1,0,25,1,0,1,0,Heavyweight,SUB Arm Triangle,2,2:21,6546af7ab545b90c,W,L,3 Rnd (5-5-5),Leon Roberts,Arm Triangle From Mount,0.0,0.78,1,0,0,0,111,317,0.0,0.72,0.0,1.0,0,0,0.0,0.17,0,0,0,0.92,0.29,0.86,0.0,0.78
Gian Villante,Michal Oleksiejczuk,1,0,14,9,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,1:34,6546af7ab545b90c,L,W,3 Rnd (5-5-5),Marc Goddard,Punch to Body At Distance,0.45,0.63,0,0,0,0,0,2,0.5,0.56,0.0,1.0,0.75,0,0.45,0.68,0,0,0,0.33,0.45,0.64,0.45,0.64
Liz Carmouche,Lucie Pudilova,0,0,14,33,3,0,2,2,Women's Flyweight,U-DEC,3,5:00,6546af7ab545b90c,W,L,3 Rnd (5-5-5),Herb Dean,Mark Collett27 - 30.Ben Cartlidge28 - 29.David Lethaby28 - 29.,0.48,0.31,2,2,0,1,359,79,0.25,0.17,0.5,0.5,0.78,0.77,0.38,0.19,1.0,0.5,1.0,0.8,0.71,0.43,0.48,0.31
John Dodson,Petr Yan,0,1,80,30,2,2,0,0,Bantamweight,U-DEC,3,5:00,6546af7ab545b90c,L,W,3 Rnd (5-5-5),Neil Hall,Andreas Gruner27 - 30.Cezary Wojciechowski27 - 30.Zdenek Ledvina27 - 30.,0.37,0.51,0,0,0,0,35,90,0.28,0.47,0.73,0.8,0.8,0.75,0.34,0.46,0.57,0.88,1.0,1.0,0.41,0.57,0.37,0.52
Magomed Ankalaev,Klidson Abreu,1,0,30,23,1,0,0,0,Light Heavyweight,U-DEC,3,5:00,6546af7ab545b90c,W,L,3 Rnd (5-5-5),Leon Roberts,Ben Cartlidge27 - 30.Paul Sutherland27 - 30.David Lethaby28 - 29.,0.44,0.37,0,0,0,0,348,28,0.4,0.24,0.67,0.53,0.67,0.83,0.35,0.3,0.67,0.78,0.86,0,0.62,0.44,0.45,0.37
Dwight Grant,Carlo Pedersoli Jr.,1,0,20,17,0,1,0,0,Welterweight,KO/TKO Punch,1,4:59,6546af7ab545b90c,W,L,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,0.37,0.37,0,0,0,0,5,19,0.3,0.22,1.0,0.82,1.0,0.5,0.27,0.34,0.67,0.75,1.0,0,0.4,0.38,0.38,0.38
Daniel Teymur,Chris Fishgold,0,0,14,17,5,1,2,0,Featherweight,SUB Rear Naked Choke,2,1:10,6546af7ab545b90c,L,W,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,0.51,0.43,0,2,0,0,78,187,0.48,0.42,1.0,1.0,0.0,0,0.35,0.38,0.5,0.8,0.82,0.33,0.62,0.49,0.52,0.44
Veronica Hardy,Gillian Robertson,0,0,5,23,2,1,1,0,Women's Flyweight,SUB Rear Naked Choke,2,3:27,6546af7ab545b90c,L,W,3 Rnd (5-5-5),Jakub Muller,Rear Naked Choke,0.56,0.62,0,1,2,3,110,266,0.55,0.71,0.67,0.0,0,0,0.32,0.57,1.0,0,0.93,1.0,0.59,0.71,0.56,0.62
Damir Hadzovic,Marco Polo Reyes,0,0,58,24,2,0,0,0,Lightweight,KO/TKO Punches,2,2:03,6546af7ab545b90c,W,L,3 Rnd (5-5-5),Leon Roberts,Punches to Head From Back Control,0.53,0.22,0,0,0,0,139,0,0.49,0.15,0.86,0.33,1.0,1.0,0.43,0.23,1.0,0.0,0.68,0,0.58,0.24,0.53,0.22
Michel Prazeres,Ismail Naurdiev,0,0,63,15,0,3,1,0,Welterweight,U-DEC,3,5:00,6546af7ab545b90c,L,W,3 Rnd (5-5-5),Marc Goddard,David Lethaby26 - 30.Andreas Gruner27 - 30.Mark Collett27 - 30.,0.42,0.61,0,1,1,2,362,229,0.38,0.51,0.5,0.88,1.0,0.76,0.37,0.51,1.0,0.86,0.75,0.81,0.53,0.67,0.43,0.61
Rustam Khabilov,Diego Ferreira,0,0,83,43,0,3,1,0,Lightweight,U-DEC,3,5:00,6546af7ab545b90c,L,W,3 Rnd (5-5-5),Neil Hall,Cezary Wojciechowski27 - 30.Paul Sutherland27 - 30.David Lethaby28 - 29.,0.29,0.29,0,1,0,0,61,13,0.25,0.23,0.5,0.5,1.0,0.91,0.27,0.26,0.6,0.67,0.33,0.8,0.3,0.31,0.29,0.29
Damir Ismagulov,Joel Alvarez,0,0,64,38,0,0,0,0,Lightweight,U-DEC,3,5:00,6546af7ab545b90c,W,L,3 Rnd (5-5-5),Jakub Muller,Ben Cartlidge27 - 30.Mark Collett27 - 30.Zdenek Ledvina27 - 30.,0.42,0.29,0,0,0,0,0,0,0.29,0.24,0.59,0.45,0.64,0.78,0.43,0.29,0,1.0,0,0,0.43,0.3,0.43,0.3
Francis Ngannou,Cain Velasquez,0,0,6,1,0,0,0,0,Heavyweight,KO/TKO Punches,1,0:26,a7a79b8efbceaaac,W,L,5 Rnd (5-5-5-5-5),Jason Herzog,Punches to Head On Ground,0.6,0.33,0,0,0,0,0,2,0.6,0.0,0,1.0,0,0.0,0.5,0.33,1.0,0,0.67,0,0.6,0.33,0.6,0.33
James Vick,Paul Felder,0,0,55,61,0,0,0,0,Lightweight,U-DEC,3,5:00,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Keith Peterson,Raul Porrata28 - 29.Mike Bell27 - 30.Derek Cleary27 - 30.,0.5,0.46,0,0,0,0,134,73,0.32,0.39,0.76,0.5,0.84,0.62,0.51,0.44,0.44,0.7,0,0,0.53,0.52,0.5,0.46
Cortney Casey,Cynthia Calvillo,0,0,82,73,0,0,0,0,Women's Strawweight,U-DEC,3,5:00,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Jason Herzog,Derek Cleary28 - 29.Dennis O'Connell28 - 29.Chris Lee27 - 30.,0.41,0.42,0,0,0,0,0,58,0.3,0.29,0.75,0.71,0.81,0.83,0.41,0.42,1.0,0.5,0,0,0.41,0.43,0.41,0.43
Alex Caceres,Kron Gracie,0,0,2,4,1,0,1,0,Featherweight,SUB Rear Naked Choke,1,2:06,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,0.28,0.2,0,1,0,0,0,74,0.23,0.17,0,0,1.0,0.25,0.29,0.2,0,0,0,0,0.29,0.27,0.29,0.2
Vicente Luque,Bryan Barberena,1,1,163,169,0,0,2,0,Welterweight,KO/TKO Knee,3,4:54,a7a79b8efbceaaac,W,L,3 Rnd (5-5-5),Jason Herzog,Knee to Head In Clinch,0.67,0.47,2,0,1,0,40,31,0.63,0.45,1.0,0.7,0.93,0.88,0.65,0.46,0.94,0.67,0.88,0.53,0.68,0.51,0.68,0.48
Andre Fili,Myles Jury,0,1,98,76,0,0,0,0,Featherweight,U-DEC,3,5:00,a7a79b8efbceaaac,W,L,3 Rnd (5-5-5),Keith Peterson,Raul Porrata28 - 29.Derek Cleary28 - 29.Chris Lee28 - 29.,0.43,0.53,0,0,0,0,0,50,0.36,0.43,0.56,0.91,0.77,0.86,0.43,0.54,0,0,0,0.44,0.43,0.55,0.43,0.53
Jimmie Rivera,Aljamain Sterling,0,0,101,24,0,0,0,0,Bantamweight,U-DEC,3,5:00,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Ryan Brueggeman,Chris Lee27 - 30.Mike Bell27 - 30.Chris Flores27 - 30.,0.28,0.57,0,0,0,0,169,164,0.14,0.38,0.44,0.76,1.0,0.9,0.22,0.53,1.0,0.79,0,1.0,0.37,0.63,0.29,0.57
Benito Lopez,Manny Bermudez,0,0,7,7,1,0,1,0,Bantamweight,SUB Guillotine Choke,1,3:09,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke On Ground,0.58,0.7,0,1,0,0,59,92,0.38,0.5,0,1.0,1.0,0,0.33,0.5,0.83,1.0,0,0.8,0.69,0.74,0.58,0.7
Ashlee Evans-Smith,Andrea Lee,0,0,111,66,0,2,0,0,Women's Flyweight,U-DEC,3,5:00,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Al Guinee,Chris Lee27 - 30.Derek Cleary27 - 30.Raul Porrata27 - 30.,0.29,0.53,0,0,0,0,35,86,0.21,0.36,0.56,0.74,0.73,0.97,0.26,0.52,0.89,0.65,1.0,1.0,0.31,0.55,0.29,0.53
Scott Holtzman,Nik Lentz,0,0,71,54,5,0,1,0,Lightweight,U-DEC,3,5:00,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Jason Herzog,Chris Flores28 - 29.Dennis O'Connell28 - 29.Mike Bell28 - 29.,0.44,0.58,0,1,0,0,18,408,0.39,0.44,0.62,0.89,1.0,1.0,0.37,0.52,0.88,0.94,1.0,0,0.55,0.61,0.44,0.58
Renan Barao,Luke Sanders,1,0,39,40,0,0,0,0,Bantamweight,KO/TKO Punch,2,1:01,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Al Guinee,Punch to Head At Distance,0.51,0.52,0,0,0,0,0,18,0.3,0.45,0.66,0.75,0.75,0.78,0.47,0.49,1.0,1.0,0,1.0,0.52,0.53,0.51,0.52
Aleksandra Albu,Emily Whitmire,0,0,3,2,1,0,1,0,Women's Strawweight,SUB Rear Naked Choke,1,1:01,a7a79b8efbceaaac,L,W,3 Rnd (5-5-5),Ryan Brueggeman,Rear Naked Choke,0.4,0.6,0,1,0,0,0,50,0.4,0.5,0,0,0,1.0,0.4,0.6,0,0,0,0,0.33,0.73,0.4,0.6
Israel Adesanya,Anderson Silva,0,0,65,31,0,0,0,0,Middleweight,U-DEC,3,5:00,b5882371e2a3900d,W,L,3 Rnd (5-5-5),Herb Dean,Garth Harriman28 - 29.Albert Shen27 - 30.Charlie Keech27 - 30.,0.49,0.43,0,0,0,0,0,0,0.34,0.33,0.41,0.67,0.94,0.64,0.49,0.39,0.67,1.0,0,0,0.49,0.45,0.49,0.43
Lando Vannata,Marcos Mariano,0,0,20,3,1,0,1,0,Lightweight,SUB Kimura,1,4:55,b5882371e2a3900d,W,L,3 Rnd (5-5-5),Steve Perceval,Kimura From Side Control,0.5,0.33,1,0,0,0,215,0,0.49,0.29,0.0,0,1.0,0.5,0.5,0.14,0,0,0.5,1.0,0.61,0.36,0.5,0.33
Rani Yahya,Ricky Simon,2,0,54,47,4,0,0,0,Bantamweight,U-DEC,3,5:00,b5882371e2a3900d,L,W,3 Rnd (5-5-5),Steve Perceval,Mark Craig27 - 30.Albert Shen27 - 30.Anthony Dimitriou25 - 30.,0.25,0.39,0,0,0,0,0,229,0.18,0.34,0.71,0.56,0.62,1.0,0.25,0.33,0,0,0,0.7,0.27,0.44,0.25,0.39
Montana De La Rosa,Nadia Kassem,0,0,21,5,2,0,3,0,Women's Flyweight,SUB Armbar,2,2:37,b5882371e2a3900d,W,L,3 Rnd (5-5-5),Peter Hickmott,Armbar From Mount,0.6,0.71,3,0,0,0,381,50,0.59,0.33,1.0,1.0,0,1.0,0.37,0.75,0,1.0,0.88,0.5,0.78,0.75,0.6,0.71
Jimmy Crute,Sam Alvey,1,0,14,3,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,2:49,b5882371e2a3900d,W,L,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,0.43,0.21,0,0,0,0,8,0,0.3,0.21,0.67,0,0.83,0,0.39,0.21,0,0,0.56,0,0.47,0.21,0.44,0.21
Devonte Smith,Dong Hyun Ma,1,0,19,1,0,0,0,0,Lightweight,KO/TKO Punch,1,3:53,b5882371e2a3900d,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0.44,0.11,0,0,0,0,2,0,0.41,0.0,0.25,0.0,0.8,0.25,0.39,0.11,0,0,0.8,0,0.44,0.11,0.44,0.11
Shane Young,Austin Arnett,1,0,120,77,0,0,0,0,Featherweight,U-DEC,3,5:00,b5882371e2a3900d,W,L,3 Rnd (5-5-5),Greg Kleynjans,Evan Field27 - 30.Albert Shen27 - 30.Charlie Keech27 - 30.,0.38,0.36,0,0,0,0,17,0,0.29,0.36,0.7,0.5,0.76,1.0,0.39,0.37,1.0,1.0,0,0,0.39,0.37,0.39,0.37
