"Status","","'=","in Betrieb",""
"","","'=","genehmigt, noch nicht in Betrieb",""


"Zuständige Dienststelle","Standortgemeinde","Hersteller","Typbezeichnung des Herstellers","Generatorleistung [MW]","Nabenhöhe [m]","Rotordurchmesser [m]","Status","Inbetriebnahmedatum","Stilllegedatum","Ost","Nord","Herkunft der Daten","Stand der Daten"
"Landratsamt Main-Tauber-Kreis","Bad Mergentheim","Nordex","N50/800 R70","0,80","70,00","80,00","in Betrieb","21.01.2002",,"558621","5476498","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","Enercon","E70-E4","2,00","98,20","71,00","in Betrieb","01.06.2005",,"570783","5481299","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Grünsfeld","Enercon","E40 / WK III","0,60","78,00","44,00","in Betrieb","11.01.2001",,"555482","5497841","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Grünsfeld","Enercon","E40 / WK III","0,60","78,00","44,00","in Betrieb","11.01.2001",,"555660","5498059","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Grünsfeld","Enercon","E40 / WK III","0,60","78,00","44,00","in Betrieb","11.01.2001",,"555695","5497900","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E-58/10.58","1,00","70,50","58,60","in Betrieb","10.01.2005",,"542984","5492536","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E-48","0,80","75,60","48,00","in Betrieb","05.05.2010",,"543819","5491761","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Großrinderfeld","Enercon","E-40 RD44","0,60","78,00","44,00","in Betrieb","30.10.2002",,"555650","5506699","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Enercon","E40/644","0,60","77,65","44,00","in Betrieb","20.09.2004",,"535541","5503078","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Enercon","E40/644","0,60","77,65","44,00","in Betrieb","20.09.2004",,"535632","5502876","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Bad Mergentheim","Vestas","V150","4,20","145,00","150,00","in Betrieb","21.03.2025",,"550600","5481139","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Bad Mergentheim","Vestas","V150","4,20","145,00","150,00","in Betrieb","19.02.2025",,"550345","5480765","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Bad Mergentheim","Vestas","V150","4,20","145,00","150,00","in Betrieb","20.02.2025",,"550831","5480415","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Bad Mergentheim","Vestas","V150","4,20","145,00","150,00","in Betrieb","26.02.2025",,"550486","5480138","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Boxberg","Enercon","E-92","2,35","138,38","92,00","in Betrieb","29.05.2017",,"541304","5484062","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","REpower Systems","REpower MM 100","2,00","100,00","100,00","in Betrieb","28.11.2015",,"578821","5484862","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-92","2,35","138,38","92,00","in Betrieb","19.02.2015",,"566300","5485688","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-92","2,35","138,38","92,00","in Betrieb","19.02.2015",,"565751","5485940","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","REpower","3.2M 114","3,20","143,00","114,00","in Betrieb","04.12.2015",,"571184","5481497","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","REpower","MM92","2,05","100,00","92,50","in Betrieb","14.12.2015",,"570010","5481700","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Nordex","N117","2,40","140,60","116,80","in Betrieb","07.06.2016",,"539113","5500354","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Nordex","N117","2,40","140,60","116,80","in Betrieb","07.06.2016",,"539764","5500966","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Nordex","N117","2,40","140,60","116,80","in Betrieb","07.06.2016",,"540038","5500745","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Nordex","N117","2,40","140,60","116,80","in Betrieb","07.06.2016",,"539847","5500254","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Külsheim","Nordex","N117","2,40","140,60","116,80","in Betrieb","07.06.2016",,"540125","5500040","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-53","0,80","73,25","53,00","in Betrieb","04.12.2015",,"565532","5476682","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","GE 2.5-120","2,53","139,00","120,00","in Betrieb","20.10.2015",,"577505","5482712","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","GE 2.5-120","2,53","139,00","120,00","in Betrieb","20.10.2015",,"577007","5482725","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","GE 2.5-120","2,53","139,00","120,00","in Betrieb","06.11.2015",,"577082","5482266","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","GE 2.5-120","2,53","139,00","120,00","in Betrieb","06.11.2015",,"577571","5482195","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","GE 2,5-120","2,53","139,00","120,00","in Betrieb","06.11.2015",,"577921","5481920","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","Ge 2.5-120","2,53","139,00","120,00","in Betrieb","06.11.2015",,"578516","5482121","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","Ge 2.5-120","2,53","139,00","120,00","in Betrieb","06.11.2015",,"578144","5481587","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","GE 2.5-120","2,53","139,00","120,00","in Betrieb","06.11.2015",,"578756","5481791","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","Ge 2.5-120","2,53","139,00","120,00","in Betrieb","06.11.2015",,"578254","5481253","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","GE Wind Energy","Ge 2.5-120","2,53","139,00","120,00","in Betrieb","20.10.2015",,"576455","5482257","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","REpower/Senvion","3.2 M","3,20","123,00","114,00","in Betrieb","08.12.2015",,"569861","5480701","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","REpower/Senvion","3.2 M","3,20","123,00","114,00","in Betrieb","09.12.2015",,"569158","5481251","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E-115","3,00","149,00","115,00","in Betrieb","26.09.2017",,"537184","5493685","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E-115","3,00","149,00","115,00","in Betrieb","20.09.2017",,"537024","5493877","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Weikersheim","Enercon","E-92","2,35","138,38","92,00","in Betrieb","30.09.2016",,"569584","5481544","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Ahorn","Enercon","E-53","0,80","73,25","53,00","in Betrieb","03.02.2011",,"542075","5479281","LUBW      ","2025"
