Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy
4,2,2,6,1.822,0.747,1
4,1,1,6,2.624,1.35,1
4,1,1,6,3.153,0.784,1
4,2,2,3,6.496,0.833,1
4,1,1,6,3.176,0.705,1
4,1,2,1,3.062,0.947,0
4,2,2,2,1.8,0.696,1
4,2,2,2,3.299,0.679,1
4,1,1,6,2.233,0.707,1
4,2,2,2,4.899,1.049,1
4,1,1,5,1.862,1.602,1
4,2,1,3,2.986,0.751,0
4,2,2,3,2.467,0.988,1
4,2,2,6,4.271,0.745,1
4,2,1,1,3.29,0.643,0
4,2,1,2,3.183,0.707,0
4,2,1,1,2.659,0.9,0
4,2,2,5,5.027,1.031,1
4,1,1,5,1.447,1.794,1
4,2,1,4,2.028,0.779,0
4,2,2,2,6.519,0.711,1
4,2,1,2,2.131,1.103,0
4,2,2,6,2.029,0.75,1
4,1,1,4,2.321,0.844,1
4,2,2,2,2.819,0.716,1
4,1,1,6,1.596,0.73,1
4,2,2,1,2.768,0.687,1
4,2,2,3,1.882,0.765,1
4,1,1,6,1.581,1.04,1
4,2,2,6,1.784,0.809,1
4,1,2,1,4.044,0.679,0
4,2,2,6,2.841,0.842,1
4,1,1,6,2.147,0.728,1
4,1,1,5,1.572,0.73,1
4,2,1,2,2.776,1.371,0
4,1,1,5,2.111,0.854,1
4,1,1,5,5.532,0.664,1
4,2,2,5,3.482,0.949,1
4,2,1,4,4.453,0.807,0
4,2,2,6,1.777,1.043,1
4,1,2,4,1.846,3.952,0
4,1,1,2,1.867,1.633,1
4,1,1,2,3.677,0.603,1
4,2,2,4,3.047,0.941,1
4,1,1,3,4.478,1.469,1
4,1,2,1,3.411,0.756,0
4,2,2,4,2.208,0.831,1
4,1,1,3,2.327,0.695,1
4,1,1,1,3.046,0.673,1
4,2,1,4,2.926,0.795,0
4,1,1,6,1.739,1.086,1
4,1,1,2,1.989,0.741,1
4,2,2,2,2.238,0.764,1
4,1,1,3,2.628,0.683,1
4,2,2,4,2.25,0.803,1
4,2,2,6,1.67,0.735,1
4,1,1,5,1.832,1.217,1
4,1,1,3,3.075,0.753,1
4,2,2,4,2.22,0.796,1
4,1,1,6,2.49,0.804,1
4,1,2,2,1.69,1.894,0
4,1,1,1,2.705,0.569,1
4,2,2,6,1.467,0.771,1
4,1,1,6,2.023,0.826,1
4,2,2,5,2.191,0.761,1
4,1,1,5,1.769,0.809,1
4,1,1,2,4.41,0.778,1
4,2,2,6,1.638,0.843,1
4,2,2,2,2.832,0.862,1
4,2,2,2,3.099,0.705,1
4,2,2,5,1.972,0.769,1
4,1,1,5,1.713,0.756,1
4,1,2,4,2.643,0.905,0
4,2,1,2,2.948,0.947,0
4,1,1,6,1.942,0.64,1
4,1,1,4,2.032,0.783,1
4,1,1,5,2.701,4.265,1
4,1,1,4,2.146,0.732,1
4,1,1,3,1.762,0.755,1
4,1,2,1,3.199,0.62,0
5,1,2,3,2.431,3.521,0
5,2,2,6,1.635,0.627,1
5,1,1,6,2.159,1.256,1
5,1,1,2,4.345,1.01,1
5,1,1,5,1.871,1.089,1
5,2,2,4,2.712,1.353,1
5,2,2,6,2.438,1.01,1
5,1,1,3,5.479,0.653,1
5,1,1,6,3.911,0.745,1
5,2,2,6,2.854,1.196,1
5,2,1,4,2.579,0.965,0
5,1,1,3,4.798,0.838,1
5,2,2,6,2.474,1.228,1
5,1,1,6,3.403,1.829,1
5,2,2,4,3.684,0.976,1
5,2,2,3,2.138,0.96,1
5,2,2,3,2.739,1.143,1
5,2,2,5,2.275,0.985,1
5,2,2,4,3.991,1.027,1
5,2,2,5,2.126,0.901,1
5,2,2,5,4.281,1.031,1
5,2,2,3,2.575,0.639,1
5,1,1,3,4.295,0.858,1
5,1,1,4,1.619,0.909,1
5,2,2,5,1.822,0.639,1
5,1,1,5,1.673,0.96,1
5,1,1,3,2.935,1.4,1
5,1,1,6,2.704,1.166,1
5,2,1,6,1.794,0.925,0
5,2,2,2,1.69,1.362,1
5,1,2,4,9.996,2.714,0
5,2,1,3,9.493,0.97,0
5,2,1,3,2.825,0.558,0
5,2,2,4,3.107,0.863,1
5,1,1,5,1.241,1.02,1
5,1,1,6,1.938,2.809,1
5,1,1,5,1.733,0.858,1
5,2,1,5,1.561,1.124,0
5,2,2,3,2.381,1.037,1
5,1,1,2,1.978,1.169,1
5,2,2,5,1.651,0.832,1
5,2,2,4,2.073,1.881,1
5,2,2,3,2.673,1.095,1
5,1,1,2,3.619,0.952,1
5,1,1,3,1.71,2.14,1
5,1,1,4,2.32,0.86,1
5,1,2,3,5.252,1.943,0
5,2,2,5,1.714,1.388,1
5,1,1,5,1.31,1.629,1
5,1,1,6,1.391,0.892,1
5,2,2,5,3.26,1.335,1
5,1,1,5,2.027,1.728,1
5,1,1,3,1.888,0.955,1
5,2,2,2,4.695,1.277,1
5,2,2,2,2.085,1.78,1
5,2,1,4,1.733,0.853,0
5,2,1,5,1.901,0.569,0
5,1,1,2,3.641,0.821,1
5,2,2,5,2.123,1.065,1
5,2,2,3,2.446,0.78,1
5,1,1,5,2.481,1.034,1
5,2,1,5,1.343,0.703,0
5,1,1,6,1.908,1.275,1
5,2,2,6,4.389,0.636,1
5,2,2,3,6.363,1.061,1
5,2,2,4,2.241,1.853,1
5,1,1,3,1.405,2.139,1
5,2,1,2,2.69,1.389,0
5,2,2,3,2.677,0.916,1
5,1,1,2,1.575,0.952,1
5,2,2,1,3.68,0.868,1
5,2,2,3,3.722,1.364,1
5,1,2,1,2.179,2.478,0
5,2,2,5,2.896,2.019,1
5,1,1,2,1.31,1.412,1
5,2,2,3,3.14,0.996,1
5,1,1,3,1.629,1.639,1
5,1,2,5,3.18,1.703,0
5,1,1,5,2.271,0.575,1
5,1,1,6,1.626,0.847,1
5,2,1,5,2.735,0.807,0
5,1,1,6,1.419,0.582,1
5,2,2,6,1.852,0.825,1
5,2,1,2,1.995,0.786,0
5,1,1,3,2.485,0.83,1
5,1,1,5,2.123,0.611,1
5,2,2,3,3.836,0.518,1
5,1,2,4,4.463,1.573,0
5,1,2,2,1.446,1.606,0
5,1,2,1,1.989,1.499,0
5,1,2,2,5.11,3.582,0
5,1,1,1,2.598,1.223,1
5,2,2,5,1.528,1.911,1
5,2,1,3,2.398,0.838,0
5,1,1,5,3.897,0.912,1
5,1,2,1,1.985,1.036,0
5,2,2,6,1.528,1.193,1
5,1,2,4,5.397,1.01,0
5,1,1,5,1.94,1.07,1
5,1,2,3,1.501,0.965,0
5,2,2,6,1.432,0.596,1
5,2,2,5,1.899,0.872,1
5,2,2,6,1.939,0.655,1
5,2,1,5,3.015,0.934,0
5,2,2,2,1.622,4.575,1
5,2,1,5,1.688,1.055,0
5,1,1,5,1.442,0.768,1
5,2,2,3,1.862,1.89,1
5,2,2,6,1.658,1.773,1
5,1,1,6,1.333,1.655,1
5,1,1,6,1.467,0.901,1
5,2,2,4,4.222,0.93,1
5,2,2,3,1.62,1.018,1
5,1,1,2,2.151,1.375,1
5,1,2,5,2.006,0.807,0
5,1,2,1,2.16,1.441,0
5,2,1,2,2.795,1.383,0
5,1,2,3,1.737,1.545,0
5,2,2,2,2.039,1.281,1
5,2,1,5,1.626,1.428,0
5,1,2,3,1.729,0.867,0
5,1,1,2,1.672,1.426,1
5,1,2,1,1.513,1,0
5,1,2,3,1.188,1.102,0
5,2,1,2,2.639,0.883,0
5,1,1,6,2.304,1.289,1
5,1,2,3,4.221,2.233,0
5,1,1,6,2.472,1.453,1
5,2,1,6,1.466,1.047,0
5,1,2,3,3.5,0.85,0
5,2,1,3,0.834,1.131,0
5,1,2,3,1.804,1.01,0
5,2,1,2,1.348,0.926,0
5,2,2,3,2.187,0.861,1
5,1,1,3,1.112,1.011,1
5,2,2,2,1.938,1.171,1
5,1,2,2,0.952,0.883,0
5,2,2,6,4.245,1.792,1
5,1,1,6,1.129,2.012,1
5,2,2,6,1.345,1.407,1
5,1,1,2,1.563,0.952,1
5,2,1,3,2.275,0.811,0
5,1,1,2,0.821,1.054,1
5,1,2,2,0.791,1.065,0
5,1,1,6,3.236,0.667,1
5,2,2,3,1.964,1.543,1
5,2,2,3,4.956,0.979,1
5,2,1,3,0.955,0.751,0
5,1,1,3,5.223,0.893,1
5,1,1,5,2.121,0.98,1
6,1,1,6,2.622,0.986,1
6,1,1,6,4.527,0.956,1
