repo,date,commit_count
pytorch/pytorch,2020-12-05,15
pytorch/pytorch,2020-12-06,4
pytorch/pytorch,2020-12-07,25
pytorch/pytorch,2020-12-08,35
pytorch/pytorch,2020-12-09,37
pytorch/pytorch,2020-12-10,69
pytorch/pytorch,2020-12-11,41
pytorch/pytorch,2020-12-12,3
pytorch/pytorch,2020-12-13,4
pytorch/pytorch,2020-12-14,31
pytorch/pytorch,2020-12-15,27
pytorch/pytorch,2020-12-16,68
pytorch/pytorch,2020-12-17,32
pytorch/pytorch,2020-12-18,37
pytorch/pytorch,2020-12-19,2
pytorch/pytorch,2020-12-20,6
pytorch/pytorch,2020-12-21,39
pytorch/pytorch,2020-12-22,32
pytorch/pytorch,2020-12-23,14
pytorch/pytorch,2020-12-24,3
pytorch/pytorch,2020-12-28,9
pytorch/pytorch,2020-12-29,10
pytorch/pytorch,2020-12-30,14
tidyverse/ggplot2,2019-01-05,2
tidyverse/ggplot2,2019-01-06,1
tidyverse/ggplot2,2019-01-19,12
tidyverse/ggplot2,2019-01-20,2
tidyverse/ggplot2,2019-01-21,1
tidyverse/ggplot2,2019-01-23,1
tidyverse/ggplot2,2019-01-25,3
tidyverse/ggplot2,2019-01-26,1
tidyverse/ggplot2,2019-01-28,1
tidyverse/ggplot2,2019-01-29,1
tidyverse/ggplot2,2019-02-01,1
tidyverse/ggplot2,2019-02-02,1
tidyverse/ggplot2,2019-02-07,1
tidyverse/ggplot2,2019-02-11,1
tidyverse/ggplot2,2019-02-12,3
tidyverse/ggplot2,2019-02-14,2
tidyverse/ggplot2,2019-02-18,2
