First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Gabriel,Arges,,--,170 lbs.,--,,0,0,0,False
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,3,0,False
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,False
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,False
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,24,0,False
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,5,0,False
Joey,Armstrong,,--,--,--,,5,2,0,False
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,False
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,False
Eli,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0,False
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,False
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,False
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,False
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,False
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,False
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,False
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,False
Kai,Asakura,,"5' 8""",125 lbs.,"69.0""",Orthodox,21,6,0,False
Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,False
Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,False
Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"69.0""",Orthodox,8,2,0,False
,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,False
Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,False
Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,False
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,False
Khusein,Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0,False
Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,False
Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,False
Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,14,3,0,False
Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,15,3,0,True
Steven,Asplund,Concrete,"6' 5""",261 lbs.,"78.0""",Orthodox,6,1,0,False
Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,False
Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,False
Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0,False
Michael,Aswell,The Texas Kid,"5' 8""",145 lbs.,"69.0""",Orthodox,10,3,0,False
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,False
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,False
Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,False
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,False
Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,False
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,False
David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,False
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,False
