First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Frank,Silva,De Black,--,125 lbs.,--,,7,1,0,False
Samuel,Silva,Caveira,"6' 0""",155 lbs.,"72.0""",Orthodox,13,5,1,False
Douglas,Silva de Andrade,D Silva,"5' 7""",135 lbs.,"68.0""",Orthodox,29,6,0,False
Leonardo,Silva de Oliveira,Cabecao,"6' 2""",185 lbs.,--,Orthodox,12,4,0,False
Marcus,Silveira,Conan,"6' 3""",242 lbs.,--,Orthodox,6,4,0,False
Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,False
Sim,Kai Xiong,Kobra,"5' 6""",135 lbs.,"67.0""",Orthodox,7,2,0,False
Jamey,Simmons,The Afro Samurai,"5' 6""",135 lbs.,"70.0""",Orthodox,7,4,0,False
Ricky,Simon,,"5' 6""",135 lbs.,"69.0""",Orthodox,22,6,0,False
Aaron,Simpson,A-Train,"6' 0""",170 lbs.,"73.0""",Orthodox,12,5,0,False
Wes,Sims,The Project,"6' 10""",260 lbs.,--,Orthodox,24,14,1,False
Marlon,Sims,,--,170 lbs.,--,,3,4,0,False
Tony,Sims,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0,False
Everett,Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,0,False
Lodune,Sincaid,,"5' 9""",185 lbs.,--,Orthodox,15,9,0,False
Rob,Sinclair,,"5' 8""",155 lbs.,--,,13,5,0,False
Rory,Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0,False
Rana Rudra Pratap,Singh,Ashwathama,"5' 10""",135 lbs.,"69.0""",Orthodox,11,2,0,False
Kiran,Singh,Stubborn,"5' 1""",115 lbs.,"65.0""",Orthodox,7,4,0,False
Elvis,Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2,False
Mitchell,Sipe,No Dice,"6' 2""",245 lbs.,--,Orthodox,4,1,0,False
Gian,Siqueira,Pitbull,"6' 1""",170 lbs.,"74.0""",Orthodox,19,5,0,False
Jeremia,Siregar,The Teacher,"5' 2""",125 lbs.,"63.0""",Orthodox,6,3,0,False
AJ,Siscoe,Let's Go,"5' 7""",135 lbs.,--,,1,2,0,False
Yokthai,Sithoar,,"5' 7""",143 lbs.,--,,0,1,0,False
Jeri,Sitzes,,"5' 5""",125 lbs.,--,,3,1,0,False
Dennis,Siver,,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,0,False
Chas,Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,19,3,0,False
Matt,Skelton,,"6' 3""",265 lbs.,--,Orthodox,0,1,0,False
Zach,Skinner,,"5' 6""",145 lbs.,--,Orthodox,10,11,0,False
Brian,Sleeman,,"5' 8""",185 lbs.,--,,9,9,1,False
Joe,Slick,,"6' 0""",199 lbs.,--,Orthodox,16,5,3,False
Ray,Sloan,,"6' 1""",205 lbs.,--,,8,1,0,False
Kestutis,Smirnovas,,"5' 10""",200 lbs.,--,Orthodox,24,8,2,False
Maurice,Smith,,"6' 2""",221 lbs.,--,Orthodox,12,14,0,False
Patrick,Smith,,"6' 2""",225 lbs.,--,Orthodox,20,17,0,False
Scott,Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,0,False
Eric,Smith,,--,--,--,Southpaw,1,1,0,False
Josh,Smith,,"6' 0""",155 lbs.,--,Orthodox,9,8,0,False
David,Smith,,--,155 lbs.,--,,5,1,0,False
Adam,Smith,,--,--,--,,0,3,0,False
Dillon,Smith,,"6' 0""",170 lbs.,--,,0,0,0,False
Trevor,Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,15,10,0,False
Anthony,Smith,Lionheart,"6' 4""",205 lbs.,"76.0""",Orthodox,38,22,0,False
Colton,Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0,False
Gilbert,Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0,False
Leslie,Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1,False
Devonte,Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,4,0,False
Cole,Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0,False
Nate,Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0,False
Braxton,Smith,The Beautiful Monster,"5' 11""",257 lbs.,"72.0""",Orthodox,5,2,0,False
Elijah,Smith,Swift,"5' 9""",135 lbs.,"71.0""",Orthodox,9,1,0,False
Jacobe,Smith,Cobe,"5' 10""",170 lbs.,"72.0""",Southpaw,11,0,0,False
Walter,Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0,False
Justin,Smitley,,--,145 lbs.,--,,10,7,1,False
Dmitrii,Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0,False
Louis,Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,9,0,False
Cameron,Smotherman,The Baby-Faced Killa,"5' 9""",135 lbs.,"69.0""",Orthodox,12,6,0,False
Shimon,Smotritsky,The Assassin,"6' 2""",170 lbs.,"74.0""",Orthodox,8,2,0,False
Richie,Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1,False
Devin,Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0,False
Denis,Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0,False
Peter,Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1,False
Renato,Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0,False
Rameau Thierry,Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0,False
Axel,Sola,,"6' 2""",170 lbs.,"74.0""",Southpaw,11,0,1,False
Alexander,Soldatkin,,"6' 2""",250 lbs.,"75.0""",Orthodox,14,4,0,False
Joe,Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,6,0,False
Chris,Solomon,,"5' 11""",155 lbs.,--,,0,0,0,False
Joe,Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0,False
Paul,Song,,--,185 lbs.,--,,2,2,0,False
Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,22,9,0,False
Song,Yadong,Kung Fu Kid,"5' 8""",135 lbs.,"67.0""",Orthodox,22,8,1,False
YoungJae,Song,Super Rookie,"5' 7""",145 lbs.,"70.0""",Orthodox,6,1,1,False
Hyeonjong,Song,,--,135 lbs.,--,,8,1,0,False
Emrah,Sonmez,Anatolian Wolf,"5' 10""",145 lbs.,"71.0""",Orthodox,14,5,0,False
Chael,Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1,False
Cody,Sons,,"5' 9""",205 lbs.,--,,3,7,0,False
Jin,Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0,False
Benardo,Sopaj,Lion King,"5' 6""",135 lbs.,"66.0""",Orthodox,12,3,0,False
Emiliano,Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0,False
Sean,Soriano,,"5' 9""",145 lbs.,"70.0""",Orthodox,14,8,0,False
Punahele,Soriano,Puna,"5' 11""",170 lbs.,"72.0""",Southpaw,11,4,0,False
Hecher,Sosa,Guanche Warrior,"5' 9""",135 lbs.,"70.0""",Orthodox,13,1,0,False
Dmitry,Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0,False
Ben,Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0,False
Krzysztof,Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1,False
George,Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0,False
Greg,Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0,False
Alex,Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1,False
Joe,Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0,False
Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0,False
Andre,Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0,False
Mario,Sousa,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,15,3,0,False
Manoel,Sousa,Manumito,"5' 9""",155 lbs.,"70.0""",Orthodox,13,1,0,False
Bobby,Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,False
Jacare,Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0,False
Edimilson,Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0,False
Livinha,Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,4,0,False
Bruno,Souza,The Tiger,"5' 10""",145 lbs.,"70.0""",Orthodox,10,3,0,False
Ketlen,Souza,Esquentadinha,"5' 3""",115 lbs.,"63.0""",Orthodox,15,6,0,False
Heraldo,Souza,Savage,"5' 11""",185 lbs.,"73.0""",Orthodox,9,2,1,False
Charon,Spain,,"5' 9""",155 lbs.,--,,14,26,0,False
Chris,Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0,False
Andreas,Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0,False
Ryan,Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,23,11,0,False
Ron,Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0,False
Tommy,Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0,False
Patrick,Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0,False
Sean,Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0,False
Felicia,Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,9,3,0,False
Sam,Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0,False
Nick,Sperling,,--,135 lbs.,--,,3,4,0,False
Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0,False
Eric,Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0,False
Waachiim,Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1,False
Daniel,Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0,False
Serghei,Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,17,6,0,False
Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0,False
Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0,False
Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0,False
Georges,St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0,False
Bobby,Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0,False
Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0,False
Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0,False
Cody,Stamann,The Spartan,"5' 6""",135 lbs.,"64.0""",Orthodox,21,8,1,False
Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0,False
Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,False
Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0,False
Dion,Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0,False
Lucas,Stark,,--,155 lbs.,--,,1,5,0,False
Clifford,Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0,False
Kalib,Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1,False
Laureano,Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,5,0,False
Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,False
Adam,Steele,,--,170 lbs.,--,,0,1,0,False
Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0,False
Ricky,Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0,False
Kody,Steele,,"5' 9""",155 lbs.,"71.0""",Orthodox,7,1,0,False
Eric,Steenberg,,--,155 lbs.,--,,5,1,0,False
Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0,False
Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0,False
Dmitri,Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0,False
Jeremy,Stephens,Lil' Heathen,"5' 9""",155 lbs.,"71.0""",Orthodox,28,20,0,False
Aljamain,Sterling,Funk Master,"5' 7""",145 lbs.,"71.0""",Orthodox,25,5,0,False
Marc,Stevens,,"5' 9""",155 lbs.,--,,21,10,0,False
Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0,False
Maia,Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0,False
Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,False
Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0,False
Kyle,Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0,False
Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1,False
Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0,False
Navajo,Stirling,,"6' 4""",205 lbs.,"79.0""",Orthodox,7,0,0,False
Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0,False
Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,False
Denis,Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0,False
Julija,Stoliarenko,,"5' 7""",125 lbs.,"66.0""",Orthodox,11,10,2,False
Dustin,Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,16,8,0,False
Niklas,Stolze,Green Mask,"6' 1""",155 lbs.,"74.0""",Switch,12,6,0,False
Ken,Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0,False
Ryan,Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0,False
George,Stork,,"5' 10""",185 lbs.,--,,7,9,0,False
Rick,Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0,False
Darko,Stosic,,"6' 0""",205 lbs.,"76.0""",Orthodox,13,4,0,False
Greg,Stott,Ranger,"5' 7""",220 lbs.,--,Southpaw,0,1,0,False
Curtis,Stout,,"6' 1""",185 lbs.,--,Southpaw,11,12,1,False
Sam,Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,20,12,1,False
Tim,Stout,,"5' 11""",185 lbs.,--,,12,10,0,False
Jesse,Strader,Sui Generis,"5' 7""",135 lbs.,"70.0""",Orthodox,5,3,0,False
Gennaro,Strangis,,--,--,--,,0,1,0,False
Dave,Strasser,,"5' 10""",170 lbs.,--,Orthodox,25,8,0,False
Daniel,Straus,,"5' 7""",145 lbs.,"71.0""",,24,7,0,False
Gerald,Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0,False
Sean,Strickland,,"6' 1""",185 lbs.,"76.0""",Orthodox,29,7,0,False
Mark,Striegl,Mugen,"5' 8""",145 lbs.,"70.0""",Southpaw,18,4,0,False
Hans,Stringer,,"6' 3""",205 lbs.,--,Orthodox,22,8,3,False
Stefan,Struve,Skyscraper,"6' 11""",265 lbs.,"84.0""",Orthodox,33,13,0,False
Josh,Stuart,,"5' 9""",160 lbs.,--,,1,4,0,False
Mike,Stumpf,,"5' 10""",170 lbs.,--,,11,4,0,False
Kyle,Sturgeon,,"6' 3""",225 lbs.,--,Switch,0,1,0,False
Tatiana,Suarez,,"5' 5""",115 lbs.,"66.0""",Southpaw,12,1,0,False
Masanori,Suda,,"5' 9""",183 lbs.,--,Orthodox,22,11,3,False
Genki,Sudo,Neo-Samurai,"5' 9""",155 lbs.,--,Orthodox,15,4,2,False
Lucasz,Sudolski,,"6' 4""",205 lbs.,"75.0""",Orthodox,8,1,0,False
Daisuke,Sugie,Amazon,"5' 6""",160 lbs.,--,Orthodox,10,8,1,False
Takashi,Sugiura,,"5' 11""",225 lbs.,--,Southpaw,1,3,0,False
Naho,Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,--,,12,5,0,False
,Sulangrangbo,,"5' 9""",135 lbs.,"66.0""",Southpaw,10,3,0,False
George,Sullivan,The Silencer,"6' 0""",170 lbs.,"73.0""",Orthodox,17,7,0,False
Amar,Suloev,,"5' 9""",183 lbs.,--,Orthodox,24,7,0,False
Magomed,Sultanakhmedov,,"6' 2""",185 lbs.,--,Southpaw,18,6,0,False
Justin,Sumter,,"6' 2""",185 lbs.,"80.0""",Southpaw,7,3,0,False
,Sumudaerji,The Tibetan Eagle,"5' 8""",125 lbs.,"72.0""",Southpaw,18,7,0,False
Rama,Supandhi,Hellboy,"5' 5""",125 lbs.,"66.0""",Southpaw,8,4,0,False
Aji,Susilo,,"5' 10""",155 lbs.,--,,6,4,0,False
Baisangur,Susurkaev,Hunter,"6' 2""",185 lbs.,"79.0""",Orthodox,10,0,0,False
Louie,Sutherland,Vanilla Gorilla,"6' 3""",264 lbs.,"76.0""",Orthodox,10,3,0,False
Jason,Suttie,Nobunaga,"6' 0""",210 lbs.,--,Orthodox,0,1,0,False
Joel,Sutton,,"5' 11""",205 lbs.,--,Orthodox,2,4,1,False
Chad,Sutton,,"6' 1""",185 lbs.,--,,2,2,0,False
Danilo,Suzart,,"6' 0""",260 lbs.,--,Orthodox,9,2,0,False
Martin,Svensson,,"6' 1""",155 lbs.,--,,15,6,0,False
Daniel,Swain,,"5' 9""",145 lbs.,"70.0""",Orthodox,20,10,1,False
Cub,Swanson,,"5' 8""",145 lbs.,"70.0""",Orthodox,30,14,0,False
Mike,Swick,Quick,"6' 1""",170 lbs.,"77.0""",Orthodox,15,6,0,False
Floyd,Sword,,"6' 0""",185 lbs.,--,Orthodox,12,3,0,False
Oumar,Sy,,"6' 4""",205 lbs.,"83.0""",Orthodox,12,1,0,False
Klaudia,Sygula,,"5' 8""",135 lbs.,"69.0""",Orthodox,7,2,0,False
Bentley,Syler,Bolivia,"5' 4""",125 lbs.,--,Orthodox,5,1,0,False
Kevin,Syler,El Nino Bala,"5' 9""",155 lbs.,"71.0""",Switch,10,1,0,False
Leo,Sylvest,Lethal,"5' 11""",205 lbs.,--,Orthodox,10,16,0,False
Tony,Sylvester,,"6' 1""",225 lbs.,--,Southpaw,11,3,0,False
Tim,Sylvia,The Maine-iac,"6' 8""",265 lbs.,"80.0""",Orthodox,31,10,0,False
Kevin,Szaflarski,,"6' 5""",260 lbs.,"77.0""",Orthodox,11,2,0,False
Sebastian,Szalay,Seb,"5' 6""",145 lbs.,"66.0""",Orthodox,10,1,0,False
Bartosz,Szewczyk,,"6' 4""",205 lbs.,"73.0""",Orthodox,8,3,1,False
Osamu,Tachihikari,,"6' 5""",300 lbs.,--,Orthodox,0,4,0,False
Amber,Tackett,,--,115 lbs.,--,,1,3,0,False
Eugenio,Tadeu,,"5' 8""",160 lbs.,--,Orthodox,2,3,0,False
Albert,Tadevosyan,Albeezy,--,170 lbs.,--,,13,3,1,False
Justin,Tafa,Bad Man,"6' 0""",264 lbs.,"74.0""",Southpaw,7,5,0,False
Junior,Tafa,The Juggernaut,"6' 3""",205 lbs.,"75.0""",Orthodox,6,4,0,False
Khalid,Taha,The Warrior,"5' 5""",135 lbs.,"69.0""",Orthodox,13,5,0,False
Joe,Taimanglo,The Juggernaut,"5' 4""",135 lbs.,--,,23,7,1,False
Tatsuro,Taira,,"5' 7""",125 lbs.,"70.0""",Orthodox,17,1,0,False
Mairbek,Taisumov,Beckan,"5' 9""",155 lbs.,"73.0""",Orthodox,27,6,0,False
Taiyilake,Nueraji,Super Saiyan,"6' 2""",170 lbs.,"75.0""",Southpaw,12,1,0,False
Nobuhiko,Takada,,"6' 0""",220 lbs.,--,Southpaw,2,6,2,False
Yoshiki,Takahashi,Kazuo,"5' 11""",199 lbs.,--,Southpaw,30,27,3,False
Yoko,Takahashi,,"5' 8""",150 lbs.,--,,15,12,2,False
Daiju,Takase,,"6' 0""",170 lbs.,--,Southpaw,12,15,2,False
Hiroyuki,Takaya,Streetfight Bancho,"5' 6""",139 lbs.,--,Orthodox,21,14,2,False
Yoshihiro,Takayama,,"6' 5""",280 lbs.,--,Orthodox,1,4,0,False
Makoto,Takimoto,,"5' 7""",205 lbs.,--,Southpaw,6,5,0,False
Oleg,Taktarov,The Russian Bear,"6' 0""",210 lbs.,--,Orthodox,17,5,2,False
Payton,Talbott,,"5' 10""",135 lbs.,"70.0""",Switch,10,1,0,False
Nordine,Taleb,,"6' 1""",170 lbs.,"74.0""",Orthodox,15,7,0,False
Murtaza,Talha,,"6' 0""",205 lbs.,"74.0""",Orthodox,7,2,0,False
Tsuyoshi,Tamakairiki,,"6' 0""",220 lbs.,--,Orthodox,0,3,0,False
Eli,Tamez,Tomahawk,"5' 7""",135 lbs.,--,,10,0,0,False
Kiyoshi,Tamura,,"5' 11""",185 lbs.,--,Southpaw,32,13,3,False
Akitoshi,Tamura,The Ironman,"5' 9""",135 lbs.,"70.0""",Orthodox,21,18,2,False
Issei,Tamura,,"5' 5""",135 lbs.,"63.0""",Orthodox,10,8,0,False
Jason,Tan,,"5' 10""",170 lbs.,--,Orthodox,5,3,0,False
Akihito,Tanaka,Kinniku Mantaro,--,--,--,Southpaw,2,2,0,False
Michinori,Tanaka,,"5' 5""",135 lbs.,"67.0""",Orthodox,11,3,0,False
Evan,Tanner,,"6' 0""",185 lbs.,"74.0""",Orthodox,32,8,0,False
Kasey,Tanner,,"5' 7""",135 lbs.,"69.0""",Orthodox,6,1,0,False
Otari,Tanzilovi,,"5' 10""",135 lbs.,"70.0""",Orthodox,9,1,0,False
Manny,Tapia,The Mangler,"5' 5""",135 lbs.,"67.0""",Orthodox,12,14,1,False
Gary,Tapusoa,,"5' 7""",185 lbs.,--,,8,3,0,False
Miesha,Tate,Cupcake,"5' 6""",135 lbs.,"65.0""",Orthodox,20,10,0,False
Aaron,Tau,Tauzemup,"5' 4""",125 lbs.,"66.0""",Switch,11,1,0,False
Deividas,Taurosevicius,,"5' 9""",145 lbs.,"68.0""",Southpaw,17,5,0,False
Thiago,Tavares,,"5' 7""",145 lbs.,"70.0""",Orthodox,21,7,1,False
Jeremy,Tavares,,--,135 lbs.,--,,1,6,0,False
Brad,Tavares,,"6' 1""",185 lbs.,"74.0""",Orthodox,21,12,0,False
Ramon,Taveras,The Savage,"5' 8""",145 lbs.,"70.0""",Southpaw,10,3,0,False
Paul,Taylor,Relentless,"6' 0""",155 lbs.,"72.0""",Orthodox,11,6,1,False
Jesse,Taylor,JT Money,"6' 0""",170 lbs.,"73.0""",Orthodox,31,15,0,False
Torrance,Taylor,,"5' 7""",155 lbs.,--,,13,8,1,False
Louis,Taylor,Handgunz,"5' 11""",185 lbs.,--,Orthodox,13,4,0,False
Anthony,Taylor,Pretty Boy,"5' 7""",145 lbs.,--,,1,3,0,False
Danielle,Taylor,Dynamite,"5' 0""",115 lbs.,"60.0""",Orthodox,9,4,0,False
J.T,Taylor,The Outlaw,"5' 10""",--,--,,7,7,0,False
James,Te Huna,,"6' 2""",185 lbs.,"75.0""",Orthodox,16,9,0,False
Cam,Teague,Chaos,"5' 10""",145 lbs.,"69.0""",Orthodox,9,2,0,False
Shawn,Teed,,"6' 5""",265 lbs.,--,Orthodox,5,2,0,False
Glover,Teixeira,,"6' 2""",205 lbs.,"76.0""",Orthodox,33,9,0,False
John,Teixeira,Macapa,"5' 7""",145 lbs.,--,Orthodox,21,2,2,False
Ewerton,Teixeira,,"6' 1""",242 lbs.,--,,3,1,0,False
Tallison,Teixeira,Xicao,"6' 7""",258 lbs.,"83.0""",Orthodox,8,1,0,False
Tra,Telligman,Trauma,"6' 2""",233 lbs.,--,Orthodox,7,5,1,False
Ramazan,Temirov,Temurlan,"5' 4""",125 lbs.,"63.0""",Orthodox,19,3,0,False
Taneisha,Tennant,Triple Threat,"5' 7""",145 lbs.,"70.0""",Orthodox,5,1,0,False
Herman,Terrado,,--,170 lbs.,--,,15,3,1,False
Dave,Terrel,The Bionic,"5' 8""",170 lbs.,--,Southpaw,7,7,0,False
David,Terrell,The Soul Assassin,"6' 1""",185 lbs.,--,Southpaw,6,2,0,False
James,Terry,Intensity,"5' 10""",170 lbs.,--,Orthodox,19,9,0,False
Jeff,Terry,,"6' 2""",205 lbs.,--,,2,3,0,False
David,Teymur,,"5' 9""",155 lbs.,"73.0""",Southpaw,8,2,0,False
Daniel,Teymur,Kid Dynamite,"5' 5""",145 lbs.,"69.0""",Orthodox,7,4,0,False
Motonobu,Tezuka,,"5' 7""",135 lbs.,--,Southpaw,28,12,7,False
Jason,Thacker,,"5' 10""",185 lbs.,--,Orthodox,0,1,0,False
Alexia,Thainara,Burguesinha,"5' 4""",115 lbs.,"67.0""",Orthodox,12,1,0,False
Brandon,Thatch,Rukus,"6' 2""",170 lbs.,"74.0""",Switch,11,5,0,False
Elias,Theodorou,The Spartan,"6' 1""",185 lbs.,"75.0""",Orthodox,16,3,0,False
Nik,Theotikos,,--,185 lbs.,--,Orthodox,6,2,0,False
Paulo,Thiago,,"5' 11""",170 lbs.,"74.0""",Orthodox,18,9,0,False
Colby,Thicknesse,Slickness,"5' 7""",135 lbs.,"69.0""",Orthodox,7,1,0,False
Din,Thomas,Dinyero,"5' 9""",155 lbs.,--,Orthodox,26,9,0,False
Ryan,Thomas,The Tank Engine,"6' 0""",170 lbs.,--,Orthodox,20,8,0,False
Noah,Thomas,,"5' 9""",135 lbs.,--,Orthodox,14,7,0,False
Joel,Thomas,The NIce Guy,"5' 10""",170 lbs.,--,,5,2,0,False
Treston,Thomison,,"5' 8""",145 lbs.,--,,10,6,0,False
Nick,Thompson,The Goat,"6' 1""",170 lbs.,"74.0""",Orthodox,38,14,1,False
James,Thompson,The Colossus,"6' 5""",265 lbs.,--,Orthodox,20,16,0,False
Oli,Thompson,,"6' 1""",242 lbs.,"75.0""",Orthodox,17,10,0,False
Stephen,Thompson,Wonderboy,"6' 0""",170 lbs.,"75.0""",Orthodox,17,9,1,False
Josh,Thomson,The Punk,"5' 10""",155 lbs.,"71.0""",Orthodox,22,9,0,False
Simeon,Thoresen,The Grin,"6' 1""",170 lbs.,"79.0""",Orthodox,17,6,1,False
Josh,Thornburg,,"6' 0""",170 lbs.,--,,8,8,0,False
Ti,Haitao,,--,135 lbs.,--,,16,6,0,False
Gleison,Tibau,,"5' 10""",155 lbs.,"71.0""",Southpaw,33,14,0,False
Chris,Tickle,BadBoy,"5' 9""",155 lbs.,--,,9,9,0,False
Nolan,Ticman,,"5' 6""",125 lbs.,--,Orthodox,4,3,0,False
Darren,Till,The Gorilla,"6' 0""",185 lbs.,"74.0""",Southpaw,18,5,1,False
Brett,Tillis,,--,145 lbs.,--,,0,0,0,False
Rio,Tirto,,"5' 4""",125 lbs.,"66.0""",Switch,8,1,0,False
Denis,Tiuliulin,,"6' 1""",185 lbs.,"77.0""",Orthodox,10,10,0,False
Ryan,Tobar,,--,155 lbs.,--,,3,3,0,False
