Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id
cb720b01fd6f9785,win,Gustavo Lopez,Anthony Birchak,0,0,26,17,2,0,1,0,Bantamweight,SUB Rear Naked Choke,1,2:43,41dca66f9dadfc86
039c645e8f3ac00f,win,Uriah Hall,Anderson Silva,2,0,60,53,0,0,0,0,Middleweight,KO/TKO Punches,4,1:24,ad044be25c94dcfd
83955de599b2d874,win,Bryce Mitchell,Andre Fili,0,0,46,27,7,0,1,0,Featherweight,U-DEC,3,5:00,ad044be25c94dcfd
d763ad79532b27ff,win,Greg Hardy,Maurice Greene,1,0,46,17,1,0,0,0,Heavyweight,KO/TKO Punches,2,1:12,ad044be25c94dcfd
997dcf5fd2eb0f2f,win,Kevin Holland,Charlie Ontiveros,0,0,11,2,2,0,0,0,Middleweight,SUB Injury,1,2:39,ad044be25c94dcfd
6915d46b49999f60,win,Thiago Moises,King Green,0,0,42,85,2,2,1,0,Lightweight,U-DEC,3,5:00,ad044be25c94dcfd
95beb5ec32718faf,win,Alexander Hernandez,Chris Gruetzemacher,1,0,29,8,0,0,0,0,Lightweight,KO/TKO Punches,1,1:46,ad044be25c94dcfd
4e566bd7094b49da,win,Adrian Yanez,Victor Rodriguez,1,0,17,6,0,0,0,0,Bantamweight,KO/TKO Kick,1,2:46,ad044be25c94dcfd
09f5fb0bec3c948a,win,Sean Strickland,Jack Marshman,0,0,106,48,0,0,0,0,Middleweight,U-DEC,3,5:00,ad044be25c94dcfd
696ff200d98fa878,win,Jason Witt,Cole Williams,0,0,20,1,2,0,1,0,Welterweight,SUB Arm Triangle,2,2:09,ad044be25c94dcfd
783761d95060ffc4,win,Dustin Jacoby,Justin Ledet,2,0,22,10,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,2:38,ad044be25c94dcfd
7e6f12a95c14f9de,win,Miles Johns,Kevin Natividad,1,0,48,33,0,0,0,0,Bantamweight,KO/TKO Punch,3,2:51,ad044be25c94dcfd
59eea37af7efb06c,win,Khabib Nurmagomedov,Justin Gaethje,0,0,26,29,2,0,1,0,Lightweight,SUB Triangle Choke,2,1:34,c3c38c86f5ab9b5c
51108eabae8391ca,win,Robert Whittaker,Jared Cannonier,1,0,69,53,0,0,0,0,Middleweight,U-DEC,3,5:00,c3c38c86f5ab9b5c
ccfe7b0d29c5440c,win,Alexander Volkov,Walt Harris,0,0,45,16,0,0,0,0,Heavyweight,KO/TKO Kick,2,1:15,c3c38c86f5ab9b5c
a2620cbef573a837,win,Phil Hawes,Jacob Malkoun,1,0,7,0,0,0,0,0,Middleweight,KO/TKO Punches,1,0:18,c3c38c86f5ab9b5c
e8ef17c0babcfca5,win,Lauren Murphy,Liliya Shakirova,0,0,22,23,1,0,1,0,Women's Flyweight,SUB Rear Naked Choke,2,3:31,c3c38c86f5ab9b5c
eedcb6c5d163e581,win,Magomed Ankalaev,Ion Cutelaba,2,0,21,11,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,4:19,c3c38c86f5ab9b5c
6eaa4981d0335c8a,win,Tai Tuivasa,Stefan Struve,1,0,27,13,0,0,0,0,Heavyweight,KO/TKO Punches,1,4:59,c3c38c86f5ab9b5c
de2069fea664c4b7,win,Casey Kenney,Nathaniel Wood,0,0,123,136,2,0,0,0,Catch Weight,U-DEC,3,5:00,c3c38c86f5ab9b5c
5b062be91c65fb73,win,Shavkat Rakhmonov,Alex Oliveira,0,0,13,9,0,0,1,0,Welterweight,SUB Guillotine Choke,1,4:40,c3c38c86f5ab9b5c
55c257629ecea80f,drawdraw,Da Woon Jung,Sam Alvey,1,0,56,59,0,0,0,0,Light Heavyweight,S-DEC,3,5:00,c3c38c86f5ab9b5c
47f9c14a7dca1ad7,win,Miranda Maverick,Liana Jojua,0,0,49,30,0,0,0,0,Women's Flyweight,KO/TKO,1,5:00,c3c38c86f5ab9b5c
2279d909f6e3e552,win,Joel Alvarez,Alexander Yakovlev,0,0,4,1,0,1,2,0,Lightweight,SUB Armbar,1,3:00,c3c38c86f5ab9b5c
5a440bdee19efaab,win,Brian Ortega,Chan Sung Jung,2,0,127,62,3,0,0,0,Featherweight,U-DEC,5,5:00,d4f364dd076bb0e2
e7a915f39ecf6db0,win,Jessica Andrade,Katlyn Cerminara,1,0,28,19,2,0,0,0,Women's Flyweight,KO/TKO Punch,1,4:55,d4f364dd076bb0e2
948da1b7ebbb06b3,win,Jimmy Crute,Modestas Bukauskas,2,0,17,7,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,2:01,d4f364dd076bb0e2
4eb5f99202f5fe97,win,James Krause,Claudio Silva,0,0,94,64,0,2,0,0,Welterweight,U-DEC,3,5:00,d4f364dd076bb0e2
e4d0be5ae320c4ae,win,Jonathan Martinez,Thomas Almeida,0,0,73,64,0,0,0,0,Featherweight,U-DEC,3,5:00,d4f364dd076bb0e2
e5279358b128c2ac,win,Guram Kutateladze,Mateusz Gamrot,1,0,37,52,0,5,0,0,Lightweight,S-DEC,3,5:00,d4f364dd076bb0e2
9b6135943a4c8fe7,win,Gillian Robertson,Poliana Botelho,0,0,57,22,3,0,0,0,Women's Flyweight,U-DEC,3,5:00,d4f364dd076bb0e2
50e0bcba7551a25f,win,JunYong Park,John Phillips,0,0,10,5,4,0,0,0,Middleweight,U-DEC,3,5:00,d4f364dd076bb0e2
2735a2ea77ddc0b5,win,Fares Ziam,Jamie Mullarkey,0,0,47,20,1,5,0,0,Lightweight,U-DEC,3,5:00,d4f364dd076bb0e2
b3e12698e65cf8d0,win,Maxim Grishin,Gadzhimurad Antigulov,0,0,34,12,1,1,0,0,Light Heavyweight,KO/TKO Punches,2,4:58,d4f364dd076bb0e2
024a04f78b37b7d9,win,Said Nurmagomedov,Mark Striegl,0,0,18,3,0,0,0,0,Bantamweight,KO/TKO Punches,1,0:51,d4f364dd076bb0e2
727ecd251325b6a8,win,Cory Sandhagen,Marlon Moraes,1,0,38,14,0,1,0,0,Bantamweight,KO/TKO Kick,2,1:03,fd4578cac86d75ca
db5802643b9fd7d4,win,Edson Barboza,Makwan Amirkhani,2,0,32,11,0,3,1,0,Featherweight,U-DEC,3,5:00,fd4578cac86d75ca
1720a97a2fa261f8,win,Marcin Tybura,Ben Rothwell,0,0,94,89,1,0,0,0,Heavyweight,U-DEC,3,5:00,fd4578cac86d75ca
e64075c104471ff0,win,Dricus Du Plessis,Markus Perez,1,0,26,14,0,0,0,0,Middleweight,KO/TKO Punch,1,3:22,fd4578cac86d75ca
e4d831dc318e4e98,win,Tom Aspinall,Alan Baudot,0,0,16,3,1,0,0,0,Heavyweight,KO/TKO Punches,1,1:35,fd4578cac86d75ca
22fe6779c3fa649d,win,Ilia Topuria,Youssef Zalal,0,0,13,17,5,0,5,1,Featherweight,U-DEC,3,5:00,fd4578cac86d75ca
7c4eb0b4845eb0ed,win,Tom Breese,KB Bhullar,1,0,17,2,0,0,0,0,Middleweight,KO/TKO Punch,1,1:42,fd4578cac86d75ca
1e525f9857019a2e,win,Chris Daukaus,Rodrigo Nascimento,2,0,13,1,0,0,0,0,Heavyweight,KO/TKO Punches,1,0:45,fd4578cac86d75ca
ee57cbd0b68c689d,win,Joaquin Buckley,Impa Kasanganay,1,0,29,28,1,0,0,0,Middleweight,KO/TKO Spinning Back Kick,2,2:03,fd4578cac86d75ca
