"Cell.ID","Time.point","Intensity","Area"
14,867,12158.9201277955,317
24,867,10912.4873188406,551
51,867,14150.4520958084,332
70,867,10163.5835866261,328
81,867,9514.53828306265,432
101,867,8135.82894736842,149
106,867,12420.2557651992,476.5
124,867,15280.8493150685,72
128,867,12325.8939393939,397.5
131,867,7845.046875,194.5
134,867,7531.19795221843,292
146,867,9998.59428571429,176
149,867,12316.9891304348,184.5
150,867,8203.88408644401,508
154,867,12799.1634615385,208.5
155,867,10374.1578947368,94.5
156,867,7704.34273624824,705.5
157,867,13071.6983606557,304.5
0,868,10570.746130031,643.5
3,868,16675.7434944238,268
6,868,15514.0288461538,310
10,868,13679.7366666667,302.5
14,868,12104.4864048338,331
24,868,10906.0128205128,546.5
51,868,13996.5783475783,349.5
70,868,10147.3524096386,332.5
81,868,9527.08083140878,434.5
101,868,8094.67567567568,145.5
106,868,12471.4832962138,449.5
124,868,15004.5921052632,74
128,868,11965.1510791367,418
131,868,7810.9898989899,201
134,868,7569.15584415584,309
146,868,9933.12290502793,178
149,868,12179.2154696133,182
150,868,9111.26296296296,268
154,868,12586.9245283019,211
155,868,10592.7738095238,84
156,868,7772.55686853767,677
157,868,13189.2703583062,305.5
159,868,7536.36964980545,256.5
0,869,10609.1799363057,627.5
3,869,16555.6942446043,277
6,869,15749.3624161074,297.5
10,869,13368.3841269841,314.5
14,869,12239.862745098,313
24,869,10916.741219963,540
51,869,13877.5498489426,329.5
70,869,10184.1375,321
81,869,9529.34712643678,435.5
101,869,8098.71710526316,152.5
106,869,12517.1370449679,465
124,869,15257.9452054795,73
128,869,12211.3841961853,362
131,869,7754.37837837838,188
134,869,7485.10256410256,311
146,869,10014.6022727273,176
149,869,12201.1176470588,174.5
150,869,9337.28260869565,277
154,869,12791.2714285714,210.5
155,869,10554.2159090909,87
156,869,7706.07485875706,708
157,869,13031.122923588,300
159,869,7261.75174825175,283
0,870,10583.6735015773,634
3,870,16627.3492647059,272.5
6,870,15493.5384615385,311
10,870,13393.3630573248,312.5
14,870,12354.300330033,304
24,870,10919.1172291297,561.5
51,870,13716.3411078717,341
70,870,10269.3111111111,316.5
81,870,9500.51235955056,443.5
101,870,8115.70394736842,153
106,870,12369.4080338266,471
124,870,14937.8783783784,74.5
128,870,12118.1047120419,384
131,870,7903.02840909091,179.5
134,870,7553.5522875817,303
146,870,9947.97826086957,182.5
149,870,11993.7675675676,186.5
154,870,12714.8768472906,203
155,870,10688.1139240506,79
156,870,7747.99713055954,694.5
157,870,12895.5220338983,293.5
159,870,10458.480349345,230.5
0,871,10637.6882911392,634
3,871,16390.8207885305,278.5
6,871,15950.724137931,292.5
10,871,13294.2388535032,312
14,871,12110.8165137615,328.5
24,871,10961.5143884892,556.5
51,871,13852.9210526316,341.5
70,871,10101.3878787879,331
81,871,9534.33179723502,434
101,871,8110.30344827586,145.5
106,871,12410.7597535934,481.5
124,871,14971.8701298701,74.5
128,871,11699.1171428571,349.5
131,871,7788.62430939226,180.5
134,871,7547.90102389078,295
146,871,9628.67582417582,180.5
149,871,12091.4285714286,192
154,871,12862.4134615385,208
155,871,10945.4675324675,77
156,871,7701.56276445698,706.5
157,871,13039.4554794521,290.5
159,871,10541.7892156863,203.5
0,872,10640.6015873016,628
3,872,16378.2907801418,281
6,872,15874.1258503401,293.5
10,872,13110.751552795,323
14,872,12252.0197368421,304.5
24,872,11021.3169398907,550.5
51,872,14090.2025723473,310
70,872,10228.4891640867,324
81,872,9570.86511627907,430.5
101,872,8108,153
106,872,12304.7406679764,505
124,872,14894.3424657534,73
128,872,12079.7969924812,399
131,872,7865.88268156425,180
134,872,7513.16610169492,297.5
146,872,9954.31952662722,171.5
149,872,12254.7674418605,172
154,872,12626.5572139303,201
155,872,10743.9176470588,83.5
156,872,7656.79131652661,714
157,872,13262.1151315789,303.5
159,872,10172.4711538462,208
0,873,10621.6698262243,632
3,873,16472.2222222222,277.5
6,873,15993.8181818182,297.5
10,873,13153.1352201258,317.5
14,873,12444.2553191489,328
24,873,10925.1779816514,545.5
51,873,14144.5220125786,319
70,873,10233.2142857143,323
81,873,9546.71889400922,434
101,873,8157.80689655172,147.5
106,873,12334.6918238994,473.5
124,873,14842.1081081081,73
128,873,11611.5792349727,362.5
131,873,7834.34972677596,184.5
134,873,7479.05743243243,293.5
146,873,9930.54437869823,169
149,873,12290.8406593407,185.5
154,873,12799.1231527094,204.5
155,873,10908.1666666667,77
156,873,7592.3153638814,740.5
157,873,13081.0986842105,303.5
159,873,10063.7636363636,218.5
0,874,10668.2508090615,620.5
3,874,16864.1368821293,262.5
6,874,15943.3545150502,299.5
10,874,13272.6472491909,309.5
14,874,12187.6114864865,300.5
24,874,10863.7833935018,551.5
51,874,14139.0465838509,323
70,874,10251.3229813665,321.5
81,874,9561.9930875576,434.5
101,874,8074.18181818182,153.5
106,874,12424.0137254902,504.5
