id;name;typ;saison;jahr;temperatur_heisse_tage;temperatur_frosttage;temperatur_tropennaechte;temperatur_mittelwert;temperatur_heizgradtage;temperatur_kuehlgradtage;niederschlag_summe;starkniederschlag_20mm_tage;trockenperiode_tage_maximum
8416;Tübingen;kreis;fruehjahr_mam;1966;0;23;0;8,49;614;0;217,9;0;9
8416;Tübingen;kreis;fruehjahr_mam;1967;0;19;0;8,05;656;4;208,9;0;13
8416;Tübingen;kreis;fruehjahr_mam;1968;0;24;0;8,25;638;1;255,4;2;12
8416;Tübingen;kreis;fruehjahr_mam;1969;2;27;0;7,89;683;8;171,9;0;12
8416;Tübingen;kreis;fruehjahr_mam;1970;0;28;0;6,12;813;0;225,1;1;14
8416;Tübingen;kreis;fruehjahr_mam;1971;0;29;0;7,95;683;7;120,6;0;23
8416;Tübingen;kreis;fruehjahr_mam;1972;0;19;0;8,05;638;0;166,7;0;25
8416;Tübingen;kreis;fruehjahr_mam;1973;0;35;0;7,08;745;2;160,8;1;18
8416;Tübingen;kreis;fruehjahr_mam;1974;0;20;0;8,35;613;0;112,1;0;16
8416;Tübingen;kreis;fruehjahr_mam;1975;0;23;0;7,49;695;0;145,3;0;13
8416;Tübingen;kreis;fruehjahr_mam;1976;0;30;0;7,67;688;2;128,7;1;31
8416;Tübingen;kreis;fruehjahr_mam;1977;0;21;0;8,12;632;0;145,4;1;15
8416;Tübingen;kreis;fruehjahr_mam;1978;0;21;0;7,74;669;0;268,6;2;9
8416;Tübingen;kreis;fruehjahr_mam;1979;0;21;0;7,73;695;9;184,5;1;12
8416;Tübingen;kreis;fruehjahr_mam;1980;0;18;0;6,84;747;0;191,6;0;18
8416;Tübingen;kreis;fruehjahr_mam;1981;0;18;0;9,29;541;4;167,9;1;15
8416;Tübingen;kreis;fruehjahr_mam;1982;0;33;0;7,54;699;1;170,6;0;11
8416;Tübingen;kreis;fruehjahr_mam;1983;0;15;0;8,13;630;0;337,5;3;12
8416;Tübingen;kreis;fruehjahr_mam;1984;0;40;0;6,01;823;0;208;2;18
8416;Tübingen;kreis;fruehjahr_mam;1985;0;24;0;7,75;672;1;266,5;2;13
8416;Tübingen;kreis;fruehjahr_mam;1986;0;22;0;7,87;679;3;290,4;2;13
8416;Tübingen;kreis;fruehjahr_mam;1987;0;31;0;6,33;795;0;202,5;1;11
8416;Tübingen;kreis;fruehjahr_mam;1988;0;20;0;8,38;622;0;294,1;2;8
8416;Tübingen;kreis;fruehjahr_mam;1989;0;11;0;9,42;531;0;188,6;2;12
8416;Tübingen;kreis;fruehjahr_mam;1990;0;13;0;9,16;547;0;150,8;1;11
8416;Tübingen;kreis;fruehjahr_mam;1991;0;22;0;7,54;686;0;126,3;0;11
8416;Tübingen;kreis;fruehjahr_mam;1992;0;23;0;9,03;580;3;140,1;0;13
8416;Tübingen;kreis;fruehjahr_mam;1993;0;24;0;9,41;547;5;162,9;0;14
8416;Tübingen;kreis;fruehjahr_mam;1994;0;10;0;9,29;527;0;282,9;1;7
8416;Tübingen;kreis;fruehjahr_mam;1995;0;27;0;7,96;660;1;268,9;2;10
8416;Tübingen;kreis;fruehjahr_mam;1996;1;33;0;7,36;715;4;182,8;0;19
8416;Tübingen;kreis;fruehjahr_mam;1997;0;23;0;8,84;582;3;92,2;0;11
8416;Tübingen;kreis;fruehjahr_mam;1998;0;16;0;9,24;556;5;185;1;22
8416;Tübingen;kreis;fruehjahr_mam;1999;0;11;0;9,67;522;12;205,3;1;10
8416;Tübingen;kreis;fruehjahr_mam;2000;0;12;0;9,98;497;3;218,1;2;8
8416;Tübingen;kreis;fruehjahr_mam;2001;0;11;0;9,68;531;10;242,8;0;11
8416;Tübingen;kreis;fruehjahr_mam;2002;0;19;0;9,19;550;3;260,6;4;20
8416;Tübingen;kreis;fruehjahr_mam;2003;1;24;0;9,76;517;5;133,4;0;17
8416;Tübingen;kreis;fruehjahr_mam;2004;0;23;0;8,01;646;0;146,7;1;12
8416;Tübingen;kreis;fruehjahr_mam;2005;3;25;0;8,57;629;14;222,2;0;9
8416;Tübingen;kreis;fruehjahr_mam;2006;0;26;0;7,75;671;0;267,5;2;10
8416;Tübingen;kreis;fruehjahr_mam;2007;0;21;0;10,48;462;9;196,4;2;32
8416;Tübingen;kreis;fruehjahr_mam;2008;0;19;0;8,85;594;10;240,5;2;14
8416;Tübingen;kreis;fruehjahr_mam;2009;1;19;0;9,77;504;7;227,9;0;16
8416;Tübingen;kreis;fruehjahr_mam;2010;0;26;0;7,94;658;2;158,1;1;11
8416;Tübingen;kreis;fruehjahr_mam;2011;0;25;0;10,43;448;2;104;0;17
8416;Tübingen;kreis;fruehjahr_mam;2012;1;21;0;9,97;509;7;124,7;1;17
8416;Tübingen;kreis;fruehjahr_mam;2013;0;29;0;7,11;730;0;230,7;3;10
8416;Tübingen;kreis;fruehjahr_mam;2014;0;19;0;9,94;472;1;132,9;1;21
8416;Tübingen;kreis;fruehjahr_mam;2015;0;31;0;9,25;540;2;171,9;1;19
8416;Tübingen;kreis;fruehjahr_mam;2016;0;22;0;8,28;629;0;226,5;1;9
8416;Tübingen;kreis;fruehjahr_mam;2017;2;21;0;9,77;523;14;159,6;0;22
8416;Tübingen;kreis;fruehjahr_mam;2018;0;21;0;10,53;467;9;138,8;1;18
8416;Tübingen;kreis;fruehjahr_mam;2019;0;19;0;8,8;569;0;224,9;2;15
8416;Tübingen;kreis;fruehjahr_mam;2020;0;25;0;9,59;507;1;110,7;1;29
8416;Tübingen;kreis;fruehjahr_mam;2021;0;36;0;7,06;730;0;175,7;0;13
8416;Tübingen;kreis;fruehjahr_mam;2022;2;30;0;9,44;548;10;147,8;1;18
8416;Tübingen;kreis;fruehjahr_mam;2023;0;18;0;9,29;534;0;211,1;0;11
8416;Tübingen;kreis;fruehjahr_mam;2024;0;6;0;10,41;441;1;297,4;3;11
8416;Tübingen;kreis;sommer_jja;1961;6;0;0;15,77;80;41;223,6;1;9
8416;Tübingen;kreis;sommer_jja;1962;8;1;0;16;103;63;173,3;1;12
8416;Tübingen;kreis;sommer_jja;1963;4;0;0;16,19;54;43;337,7;2;8
8416;Tübingen;kreis;sommer_jja;1964;17;0;0;17,43;39;101;165,7;1;13
8416;Tübingen;kreis;sommer_jja;1965;5;0;0;15,54;87;37;385,2;4;9
8416;Tübingen;kreis;sommer_jja;1966;3;0;0;15,64;82;38;354,5;3;7
8416;Tübingen;kreis;sommer_jja;1967;10;0;0;16,65;73;73;264;1;7
8416;Tübingen;kreis;sommer_jja;1968;2;0;0;15,72;72;37;317;2;11
8416;Tübingen;kreis;sommer_jja;1969;4;0;0;15,99;119;64;327,4;2;9
8416;Tübingen;kreis;sommer_jja;1970;2;0;0;16,73;57;47;235,8;1;10
8416;Tübingen;kreis;sommer_jja;1971;10;0;0;16,7;66;81;286,8;3;11
8416;Tübingen;kreis;sommer_jja;1972;3;0;0;15,72;98;58;287,4;2;13
8416;Tübingen;kreis;sommer_jja;1973;3;0;0;16,9;45;54;259;4;11
8416;Tübingen;kreis;sommer_jja;1974;4;0;0;15,99;75;43;231,1;1;8
8416;Tübingen;kreis;sommer_jja;1975;2;0;0;16,51;82;61;357,6;4;15
8416;Tübingen;kreis;sommer_jja;1976;12;0;0;17,48;48;118;197,6;2;27
8416;Tübingen;kreis;sommer_jja;1977;1;0;0;16;49;23;248,9;1;19
8416;Tübingen;kreis;sommer_jja;1978;0;0;0;15,08;119;22;252,4;2;12
8416;Tübingen;kreis;sommer_jja;1979;1;0;0;15,96;72;29;190,3;0;14
8416;Tübingen;kreis;sommer_jja;1980;2;0;0;15,55;102;38;236,9;1;8
8416;Tübingen;kreis;sommer_jja;1981;1;0;0;16,17;84;58;175,5;1;9
8416;Tübingen;kreis;sommer_jja;1982;1;0;0;17,22;39;74;364,3;1;11
8416;Tübingen;kreis;sommer_jja;1983;12;0;0;18,71;27;148;115,7;0;11
8416;Tübingen;kreis;sommer_jja;1984;6;0;0;15,87;68;42;219,4;1;12
8416;Tübingen;kreis;sommer_jja;1985;6;0;0;16,37;72;58;196,2;1;8
8416;Tübingen;kreis;sommer_jja;1986;3;0;0;16,5;105;81;314,4;4;10
8416;Tübingen;kreis;sommer_jja;1987;3;0;0;15,99;86;55;330,9;4;6
8416;Tübingen;kreis;sommer_jja;1988;4;0;0;16,41;58;56;257;1;7
8416;Tübingen;kreis;sommer_jja;1989;5;0;0;16,7;68;64;238,5;2;11
8416;Tübingen;kreis;sommer_jja;1990;8;0;0;16,79;67;79;183;0;26
8416;Tübingen;kreis;sommer_jja;1991;8;0;0;17,61;53;110;150;0;19
8416;Tübingen;kreis;sommer_jja;1992;15;0;0;18,01;26;114;337,2;4;10
8416;Tübingen;kreis;sommer_jja;1993;3;0;0;16,46;71;61;261,3;3;10
8416;Tübingen;kreis;sommer_jja;1994;9;0;0;18,56;38;153;269,5;3;7
8416;Tübingen;kreis;sommer_jja;1995;10;0;0;17,18;84;103;277,9;2;9
8416;Tübingen;kreis;sommer_jja;1996;3;0;0;16,55;53;49;274,6;2;11
8416;Tübingen;kreis;sommer_jja;1997;3;0;0;17,07;40;64;277,4;1;11
8416;Tübingen;kreis;sommer_jja;1998;14;0;0;17,33;54;95;171,4;1;10
8416;Tübingen;kreis;sommer_jja;1999;4;0;0;17,11;34;67;256,4;2;13
8416;Tübingen;kreis;sommer_jja;2000;6;0;0;17,28;44;84;195,9;0;12
8416;Tübingen;kreis;sommer_jja;2001;11;0;0;17,59;53;108;234,7;2;10
