"Date","Open","High","Low","Close","Adj.Close","Volume"
"2010-01-05",4.605,4.74,4.605,4.69,4.302349,72864800
"2010-01-06",4.6875,4.73,4.6425,4.72,4.32987,64916800
"2010-01-07",4.695,4.715,4.5925,4.6275,4.245015,54779200
"2010-01-08",4.59,4.67,4.5625,4.6375,4.254188,47816800
"2010-01-11",4.6625,4.6825,4.5075,4.5725,4.194561,55661200
NA,NA,NA,NA,NA,NA,NA
"2010-01-13",4.4475,4.4925,4.275,4.4775,4.107412,50886800
"2010-01-14",4.4225,4.455,4.3325,4.4075,4.043199,60852400
"2010-01-15",4.375,4.4125,4.22,4.2775,3.923944,81819200
"2010-01-19",4.245,4.385,4.2325,4.3575,3.997331,54532800
"2010-01-20",4.3025,4.3575,4.245,4.34,3.981278,71972800
"2010-01-21",4.3375,4.415,4.2225,4.2625,3.910184,60863200
"2010-01-22",4.2125,4.29,4.09,4.115,3.774876,106791600
"2010-01-25",4.1825,4.265,4.1525,4.185,3.839091,64367600
"2010-01-26",4.165,4.1925,4.05,4.0525,3.717541,71463600
"2010-01-27",4.05,4.1775,4.005,4.1625,3.81845,81250400
"2010-01-28",4.195,4.21,3.965,4.0225,3.690022,68776400
"2010-01-29",4.0675,4.1125,3.7875,3.8475,3.529486,77470000
"2010-02-01",3.8625,4.15,3.83,4.1425,3.800102,94983200
"2010-02-02",4.1275,4.2375,4.115,4.185,3.839091,84981200
"2010-02-03",4.1475,4.2375,4.1275,4.22,3.871197,56229600
"2010-02-04",4.1825,4.1825,3.93,3.975,3.646447,78348000
"2010-02-05",3.97,4.065,3.9,4.055,3.719835,60485600
"2010-02-08",4.0425,4.145,3.9675,4.0475,3.712955,44516000
"2010-02-09",4.1125,4.1325,3.975,4.015,3.683141,93014400
"2010-02-10",4.04,4.13,4.0125,4.0925,3.754236,53582800
"2010-02-11",4.1575,4.325,4.1275,4.28,3.926238,69598000
"2010-02-12",4.25,4.425,4.2025,4.3375,3.978986,78021200
