Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition
2,2,2,99,0.852,0.466,50,Slow
2,2,2,99,0.842,0.304,47,Slow
2,2,2,99,0.822,0.271,47,Slow
2,2,2,99,1.372,0.155,44,Slow
2,2,2,99,1.077,0.136,44,Slow
2,1,2,80,2.017,0.355,41,Slow
2,2,2,99,1.628,0.451,44,Slow
2,1,1,99,0.702,0.364,44,Slow
2,1,1,99,1.202,0.199,41,Slow
2,1,1,99,2.123,0.571,41,Slow
2,2,2,70,1.957,0.661,38,Slow
2,2,2,99,1.678,0.32,38,Slow
2,2,2,99,1.357,0.25,35,Slow
2,2,2,90,1.232,0.306,35,Slow
2,2,1,60,2.018,0.539,32,Slow
2,1,1,60,2.252,0.277,35,Slow
2,2,2,80,1.077,0.455,35,Slow
2,2,2,80,1.552,0.15,32,Slow
2,1,1,99,1.153,0.055,32,Slow
2,1,2,80,1.176,0.281,29,Slow
2,1,1,99,1.057,0.13,32,Slow
2,1,2,99,1.003,0.035,32,Slow
2,1,1,99,0.837,0.141,35,Slow
2,1,1,99,1.062,0.131,35,Slow
2,1,1,70,2.182,0.28,32,Slow
2,2,1,80,1.182,0.21,32,Slow
2,1,1,80,1.733,0.531,35,Slow
2,2,2,90,1.407,0.23,35,Slow
2,2,1,90,1.472,1.661,32,Slow
2,1,1,90,1.322,0.26,35,Slow
2,1,1,99,1.277,0.1,35,Slow
2,2,1,45,2.078,0.276,32,Slow
2,1,2,70,1.819,0.35,35,Slow
2,1,1,80,1.978,0.486,38,Slow
2,2,2,99,1.216,0.175,38,Slow
2,2,2,80,1.902,0.466,35,Slow
2,1,1,99,0.677,0.12,35,Slow
2,2,1,80,1.992,0.241,32,Slow
2,1,1,90,1.128,0.196,35,Slow
2,1,1,70,2.472,0.246,35,Slow
2,1,2,70,2.073,0.231,32,Slow
2,2,2,70,1.782,0.301,35,Slow
2,2,2,99,0.927,0.112,35,Slow
2,1,1,80,2.092,0.266,32,Slow
2,1,1,99,0.622,0.23,32,Slow
2,1,2,99,0.978,0.086,29,Slow
2,2,2,99,1.377,0.156,32,Slow
3,2,2,80,1.069,1.511,53,Baseline
3,1,2,70,1.079,0.214,53,Baseline
3,2,2,90,1.037,0.076,56,Baseline
3,1,1,90,0.778,1.919,56,Baseline
3,2,2,80,0.802,1.411,53,Baseline
3,2,2,80,0.858,0.295,53,Baseline
3,2,2,90,0.917,1.051,50,Baseline
3,1,1,90,0.677,0.471,50,Baseline
3,2,2,85,0.841,0.491,47,Baseline
3,2,2,65,1.217,1.335,47,Baseline
3,2,2,5,1.513,0.04,44,Baseline
3,2,2,60,0.746,1.841,44,Baseline
3,1,1,70,0.838,0.896,41,Baseline
3,1,1,70,1.052,2.505,41,Baseline
3,1,1,70,1.008,2.146,38,Baseline
3,1,1,60,1.422,2.09,38,Baseline
3,1,1,60,1.729,1.696,35,Baseline
3,1,1,55,1.887,0.532,35,Baseline
3,1,1,54,2.062,1.805,32,Baseline
3,2,2,60,0.741,1.742,32,Baseline
3,1,1,55,1.722,2.061,29,Baseline
3,1,1,55,0.987,0.615,29,Baseline
3,1,1,53,1.737,0.506,26,Baseline
3,2,1,52,1.807,0.674,26,Baseline
3,1,1,51,2.588,0.456,29,Baseline
3,2,2,65,0.843,0.311,29,Baseline
3,1,2,53,1.567,0.631,26,Baseline
3,1,2,53,1.978,0.24,29,Baseline
3,2,2,55,2.027,0.965,32,Baseline
3,1,1,56,1.028,2.696,32,Baseline
3,1,1,52,1.708,0.626,29,Baseline
3,2,1,50,2.148,0.715,29,Baseline
3,1,2,NaN,3.787,NaN,32,Baseline
3,1,1,55,1.562,1.346,35,Baseline
3,2,2,40,2.083,1.51,35,Baseline
3,2,2,40,2.332,3.182,32,Baseline
3,1,1,40,1.207,1.43,32,Baseline
3,2,1,50,1.982,2.67,29,Baseline
3,2,2,55,1.491,1.876,32,Baseline
3,2,2,52,1.678,2.881,32,Baseline
3,2,1,40,1.217,1.415,29,Baseline
