participant,sex,age_range,do_you_have_a_mobile_phone,is_this_mobile_phone_yours_or_do_you_share_it,age_group,age_sex_group,mobile_phone_ownership,platform_for_health,platform_for_hisb,platform_for_health_topic,computer_searching,computer_socializing,computer_entertainment,computer_studying,computer_others,mobile_searching,mobile_socializing,mobile_entertainment,mobile_studying,mobile_others,hisb_rate
105,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,none,none,none,0,0,2,1,0,1,0,1,1,0,0
106,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,0,3,1,0,1,0,1,1,0,0
107,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,1,1,0,0,0,0,1,0,0
108,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,2,0,0,0,1,2,0,0,0
109,F,Between 16 and 17 inclusive,1,Shared,16-17,16-17 F,1,,none,none,0,0,0,1,0,0,0,1,0,0,0
110,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,2,0,0,0,0,2,0,0,0
111,M,Between 16 and 17 inclusive,1,Shared,16-17,16-17 M,1,,none,none,0,0,2,0,0,0,0,2,0,0,0
112,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
113,F,Between 16 and 17 inclusive,1,Shared,16-17,16-17 F,1,,none,none,0,0,1,0,0,0,0,1,0,0,0
114,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,social media,web site,social media,1,0,3,0,0,0,2,1,0,0,1
115,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,1,1,0,0,0,0,0,3,1,0,0
116,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,social media,search engine,search engine,0,0,1,0,0,0,0,2,0,0,1
117,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,social media,social media,web site,1,1,0,1,0,0,1,2,0,0,1
118,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,social media,social media,social media,0,0,2,1,0,0,2,1,0,0,1
119,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,1,0,0,0,1,2,0,0,0
120,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,0,1,0,0,0,0,0,0,0
121,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,2,0,0,0,0,0,0,0,0
122,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,1,1,0,0,1,1,0,0,0
123,M,Between 16 and 17 inclusive,0,,16-17,16-17 M,0,,none,none,1,0,0,0,0,0,0,0,0,0,0
124,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
125,M,Lower than or equal 15,0,,<=15,<=15 M,0,,none,none,0,0,3,0,0,0,0,0,0,0,0
126,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,2,1,0,0,0,3,1,0,0
127,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
128,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,1,1,0,1,0,0,1,3,0,0,0
129,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,1,0,0,0,0,0,0,0,0,0,0
130,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,1,0,0,0,0,0,1,0,0,0
131,M,Lower than or equal 15,0,,<=15,<=15 M,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
132,M,Greater than or equal to 18,0,,>=18,>=18 M,0,,none,none,0,0,2,0,0,0,0,0,0,0,0
133,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,2,0,0,0,2,3,0,1,0
134,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,2,1,0,0,1,2,1,0,0
135,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
136,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,1,2,0,0,0,2,2,0,0,0
137,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,1,1,0,0,0,0,0,0,0
138,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
139,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,0,1,0,0,0,0,0,0,0
140,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,0,1,0,0,0,0,0,0,0
141,F,Lower than or equal 15,1,Shared,<=15,<=15 F,1,,none,none,0,1,1,1,0,0,1,0,0,0,0
142,M,Lower than or equal 15,0,,<=15,<=15 M,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
143,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,2,0,0,0,0,0,0,0,0
