Obj;Field;POS;Context;Number;Phase;HollowGlass;FlatGlass;Splitter;GlassChunk;Droplet;Slag;Tessera;Rod_yellow;Rod_orange;Rod_red;Rod_blue;Rod_white;Rod_greeen;Rod_Molten;Rod_Plychrome;Rod_Length;Rod_Dm;Pontil_yellow;Pontil_orange;Pontil_red;Pontil_bluee;Pontil_white;Pontil_green;OGW_yellow;OGW_orange;OGW_red;OGW_black;OGW_blue;OGW_green;OGW_white;Bead;RV;OvenPiece;Miscellaneous
1052;46;3791;2053;219;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;220;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;221;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
1052;46;3791;2053;222;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
1052;46;3791;2053;223;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
1052;46;3791;2053;225;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
1052;46;3791;2053;227;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
1052;48;3791;2056;201;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3788;2061;xx1;Phase Petra;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3786;2063;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
1052;47;3786;2063;202;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
1052;47;3786;2063;203;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
1052;47;3786;2063;xx1;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3791;2065;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3791;2065;202;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3791;2065;203;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3791;2065;204;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3791;2065;205;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2066;201;Pink - R ;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2066;202;Pink - R ;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2066;203;Pink - R ;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2066;204;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2066;205;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
1052;47;3796;2066;206;Pink - R ;;;;;;;;;;;1;;;;;8;4;;;;;;;;;;;;;;;;;
1052;47;3796;2066;207;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
1052;47;3796;2066;208;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1052;47;3796;2066;209;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2066;210;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2066;211;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2066;212;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
1052;47;3796;2066;213;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2066;214;Pink - R ;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2066;215;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2066;216;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2066;217;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3788;2069;xx1;Phase Petra;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;48;3908;2075;201;Pink - R;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;48;3908;2075;202;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;48;3908;2077;201;Pink - R;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;48;3908;2077;202;Pink - R;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;48;3908;2077;203;Pink - R;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;48;3908;2077;204;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;48;3908;2077;205;Pink - R;;;;;;;;;;;;;1;;;7;9;;;;;;;;;;;;;;;;;
1052;48;3908;2077;206;Pink - R;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
1052;48;3908;2077;207;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;48;3908;2077;208;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3908;2077;209;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3908;2077;210;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3908;2077;211;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3908;2077;212;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;48;3908;2077;213;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3908;2254;201;Pink - R ;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3908;2254;202;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3908;2254;203;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
1052;47;3908;2254;204;Pink - R ;;;;;;;;;;;;;;;y;;2;;;;;;;;;;;;;;;;;
1052;47;3908;2254;205;Pink - R ;;;;;;;;;1;;;;;;;10;7;;;;;;;;;;;;;;;;;
1052;47;3908;2254;206;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3908;2254;207;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3908;2254;xx1;Pink - R ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;201;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;202;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;203;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;203;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;204;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;206;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;207;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;208;Pink - R;;;;;;;;;;;1;;;;;9;5;;;;;;;;;;;;;;;;;
1052;47;3796;2256;209;Pink - R;;;;;;;;;;;1;;;;;8;5.5;;;;;;;;;;;;;;;;;
1052;47;3796;2256;210;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;47;3796;2256;211;Pink - R;;;;;;;;;1;;;;;y;;10;2;;;;;;;;;;;;;;;;;
1052;47;3796;2256;212;Pink - R;;;;;;;;;;1;;;;;;5;6;;;;;;;;;;;;;;;;;
1052;47;3796;2256;213;Pink - R;;;;;;;;1;;;;;;y;;10;4;;;;;;;;;;;;;;;;;
1052;47;3796;2256;214;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2256;215;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2256;216;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2256;217;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2256;218;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;47;3796;2256;220;Pink - R;;;;;;;;1;;;;;;;;7;2;;;;;;;;;;;;;;;;;
1052;47;3796;2256;221;Pink - R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2256;222;Pink - R;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2256;223;Pink - R;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2256;224;Pink - R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;47;3796;2256;225;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
1052;47;3796;2256;228;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;229;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;230;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;231;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;232;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;233;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;234;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;235;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;236;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;237;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;238;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3796;2256;239;Pink - R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
